year,month,temperature,temp_max,temp_min,humidity,rainfall,date
2006,1,15.603225806451613,20.106451612903225,11.838709677419354,68.03225806451613,21.5,2006-01-01
2006,2,17.489285714285714,21.932142857142857,14.082142857142857,68.17857142857143,52.2,2006-02-01
2006,3,18.23225806451613,22.051612903225806,14.819354838709677,80.16129032258064,146.5,2006-03-01
2006,4,23.540000000000003,27.383333333333333,20.486666666666668,82.26666666666667,160.8,2006-04-01
2006,5,24.85483870967742,28.30322580645161,22.216129032258067,83.35483870967742,535.1999999999999,2006-05-01
2006,6,27.196666666666665,30.333333333333332,24.833333333333332,87.13333333333334,391.0,2006-06-01
2006,7,28.55483870967742,31.75483870967742,26.141935483870967,84.74193548387096,299.1,2006-07-01
2006,8,27.838709677419356,31.309677419354838,25.200000000000003,84.70967741935483,281.6,2006-08-01
2006,9,25.823333333333334,29.740000000000002,22.746666666666666,79.4,104.3,2006-09-01
2006,10,25.85483870967742,29.87741935483871,22.629032258064516,75.19354838709677,27.5,2006-10-01
2006,11,21.586666666666666,26.14333333333333,17.84,68.9,85.3,2006-11-01
2006,12,15.109677419354838,20.30322580645161,10.903225806451612,63.67741935483871,20.6,2006-12-01
2007,1,13.793548387096775,18.438709677419357,9.95483870967742,61.12903225806452,17.5,2007-01-01
2007,2,19.082142857142856,23.889285714285712,15.328571428571427,73.5,50.2,2007-02-01
2007,3,19.458064516129035,23.16774193548387,16.567741935483873,81.29032258064517,97.0,2007-03-01
2007,4,21.25,25.19333333333333,17.709999999999997,79.13333333333334,181.6,2007-04-01
2007,5,25.93548387096774,30.219354838709677,22.5,80.87096774193549,315.7,2007-05-01
2007,6,27.683333333333334,31.026666666666667,25.283333333333335,86.83333333333333,423.9,2007-06-01
2007,7,29.04516129032258,32.74193548387097,26.041935483870965,80.61290322580645,79.2,2007-07-01
2007,8,28.151612903225807,31.83225806451613,25.55483870967742,83.25806451612904,225.7,2007-08-01
2007,9,26.93,30.503333333333334,24.15,77.03333333333333,109.7,2007-09-01
2007,10,24.887096774193548,29.43548387096774,21.041935483870965,66.6774193548387,66.30000000000001,2007-10-01
2007,11,19.10666666666667,24.266666666666666,14.79,57.733333333333334,15.0,2007-11-01
2007,12,17.470967741935485,22.46451612903226,13.493548387096775,65.7741935483871,27.6,2007-12-01
2008,1,13.106451612903227,17.529032258064515,9.600000000000001,66.16129032258064,78.69999999999999,2008-01-01
2008,2,11.696551724137931,15.675862068965518,8.420689655172414,64.44827586206897,40.0,2008-02-01
2008,3,20.074193548387097,25.26451612903226,15.435483870967742,72.70967741935483,65.6,2008-03-01
2008,4,23.296666666666667,27.113333333333333,20.490000000000002,81.2,207.0,2008-04-01
2008,5,25.274193548387096,28.980645161290322,22.503225806451614,82.7741935483871,227.3,2008-05-01
2008,6,26.553333333333335,29.85666666666667,24.45,88.7,900.9,2008-06-01
2008,7,28.18064516129032,31.793548387096774,25.47741935483871,83.0,214.2,2008-07-01
2008,8,27.958064516129035,31.506451612903227,25.154838709677417,82.70967741935483,164.9,2008-08-01
2008,9,27.94,31.946666666666665,25.02,79.16666666666667,122.1,2008-09-01
2008,10,25.403225806451612,29.219354838709677,22.164516129032258,77.12903225806451,123.10000000000001,2008-10-01
2008,11,19.58,24.666666666666668,15.35,59.9,21.099999999999998,2008-11-01
2008,12,15.432258064516128,21.148387096774194,10.390322580645162,56.16129032258065,9.1,2008-12-01
2009,1,12.864516129032259,18.425806451612903,7.941935483870967,54.096774193548384,10.3,2009-01-01
2009,2,21.410714285714285,26.72142857142857,17.375,74.60714285714286,8.4,2009-02-01
2009,3,19.02258064516129,23.154838709677417,15.635483870967741,78.80645161290323,205.9,2009-03-01
2009,4,22.166666666666668,26.023333333333333,19.07,77.6,123.8,2009-04-01
2009,5,25.006451612903227,28.94193548387097,21.806451612903224,79.93548387096774,261.90000000000003,2009-05-01
