city,cases_2014,temp_2014,humidity_2014,precip_2014
Guangzhou,38036.0,22.429193548387094,76.81912442396313,59.134639016897076
Foshan,3542.0,22.58661034306196,75.81380568356376,49.86837173579109
Zhongshan,679.0,22.900643881208396,78.83758320532515,47.93810291858679
Jiangmen,595.0,22.65257808499744,78.06496415770609,50.3986866359447
Zhuhai,505.0,23.07461085509473,79.99511008704557,49.63672811059908
Shenzhen,450.0,22.981326804915515,79.27400153609831,45.67872503840246
Yangjiang,294.0,22.753134280593958,79.34226830517153,52.79215053763441
Dongguan,287.0,22.462779057859702,77.29075140809012,53.28098310291859
Zhaoqing,277.0,22.35740015360983,79.2060291858679,47.67100614439324
Shantou,246.0,21.98561827956989,80.16983486943165,44.77208909370199
Zhanjiang,230.0,23.378130440348183,81.00526753712238,54.53840245775729
Huizhou,37.0,22.046809395801333,78.23293010752688,48.945414746543776
Shaoguan,15.0,21.15688684075781,73.93300051203276,53.39380184331797
