scenario,temp,precip,humidity,beta_nn
T-vary,22.0,10.757142857142858,29.0,0.055161264
T-vary,22.0,10.757142857142858,29.398472576021398,0.055169106
T-vary,22.0,10.757142857142858,29.796945152042795,0.055176873
T-vary,22.0,10.757142857142858,30.195417728064196,0.05518457
T-vary,22.0,10.757142857142858,30.593890304085594,0.055192173
T-vary,22.0,10.757142857142858,30.99236288010699,0.05519973
T-vary,22.0,10.757142857142858,31.39083545612839,0.055207197
T-vary,22.0,10.757142857142858,31.78930803214979,0.0552146
T-vary,22.0,10.757142857142858,32.18778060817119,0.055221908
T-vary,22.0,10.757142857142858,32.586253184192586,0.05522914
T-vary,22.0,10.757142857142858,32.98472576021398,0.055236325
T-vary,22.0,10.757142857142858,33.38319833623538,0.055243418
T-vary,22.0,10.757142857142858,33.78167091225678,0.05525042
T-vary,22.0,10.757142857142858,34.180143488278176,0.05525738
T-vary,22.0,10.757142857142858,34.57861606429958,0.055264242
T-vary,22.0,10.757142857142858,34.97708864032098,0.055271037
T-vary,22.0,10.757142857142858,35.375561216342376,0.05527775
T-vary,22.0,10.757142857142858,35.774033792363774,0.0552844
T-vary,22.0,10.757142857142858,36.17250636838517,0.05529096
T-vary,22.0,10.757142857142858,36.57097894440657,0.05529747
T-vary,22.0,10.757142857142858,36.96945152042797,0.055303875
T-vary,22.0,10.757142857142858,37.367924096449364,0.05531022
T-vary,22.0,10.757142857142858,37.76639667247076,0.05531648
T-vary,22.0,10.757142857142858,38.16486924849217,0.055322684
T-vary,22.0,10.757142857142858,38.56334182451356,0.055328805
T-vary,22.0,10.757142857142858,38.96181440053496,0.055334847
T-vary,22.0,10.757142857142858,39.36028697655636,0.055340804
T-vary,22.0,10.757142857142858,39.75875955257776,0.055346716
T-vary,22.0,10.757142857142858,40.157232128599155,0.055352528
T-vary,22.0,10.757142857142858,40.55570470462055,0.055358272
T-vary,22.0,10.757142857142858,40.95417728064195,0.055363946
T-vary,22.0,10.757142857142858,41.35264985666335,0.05536953
T-vary,22.0,10.757142857142858,41.75112243268475,0.05537506
T-vary,22.0,10.757142857142858,42.14959500870614,0.05538051
T-vary,22.0,10.757142857142858,42.54806758472755,0.055385884
T-vary,22.0,10.757142857142858,42.946540160748945,0.05539119
T-vary,22.0,10.757142857142858,43.34501273677034,0.055396397
T-vary,22.0,10.757142857142858,43.74348531279174,0.05540154
T-vary,22.0,10.757142857142858,44.14195788881314,0.05540662
T-vary,22.0,10.757142857142858,44.540430464834536,0.05541162
T-vary,22.0,10.757142857142858,44.938903040855934,0.05541654
T-vary,22.0,10.757142857142858,45.33737561687734,0.055421382
T-vary,22.0,10.757142857142858,45.73584819289873,0.055426165
T-vary,22.0,10.757142857142858,46.134320768920134,0.05543087
T-vary,22.0,10.757142857142858,46.53279334494153,0.055435486
T-vary,22.0,10.757142857142858,46.93126592096293,0.05544003
T-vary,22.0,10.757142857142858,47.329738496984326,0.055444498
T-vary,22.0,10.757142857142858,47.728211073005724,0.05544892
T-vary,22.0,10.757142857142858,48.12668364902712,0.05545324
T-vary,22.0,10.757142857142858,48.52515622504852,0.055457488
T-vary,22.0,10.757142857142858,48.923628801069924,0.05546167
T-vary,22.0,10.757142857142858,49.322101377091315,0.05546578
