scheme,N,MAE,RMSE,MAPE,Spearman_rho,Spearman_p
scale_with_guangzhou,13,34544.53636693674,35965.61889847944,350.69449548538097,0.7747252747252747,0.0018713615028719075
scale_without_guangzhou,13,3345.831836357063,10420.419112968491,4.815805643956131,0.7747252747252747,0.0018713615028719075
loglinear_without_guangzhou,13,2901.830905520733,9299.827339201946,1.3031708191566975,0.7747252747252747,0.0018713615028719075
scale_with_guangzhou_non_gz,12,37423.24773084814,37434.20300536062,379.91903677582945,0.7132867132867133,0.009201779777634755
scale_without_guangzhou_non_gz,12,504.7135945511497,908.7194535909383,5.135096869670996,0.7132867132867133,0.009201779777634755
loglinear_without_guangzhou_non_gz,12,356.0892181999704,669.3800808430375,1.3384809510582167,0.7132867132867133,0.009201779777634755
