city,year,month,temp_mean,humidity,precip,beta_pred,BI,BI_norm,risk_monthly,bi_coverage_months
Dongguan,2014,1,14.706451612903225,61.96774193548387,0.032258064516129,0.055498264729976654,,1.0,0.055498264729976654,0
Dongguan,2014,2,14.535714285714286,73.46428571428571,1.2357142857142858,0.05543852970004082,,1.0,0.05543852970004082,0
Dongguan,2014,3,19.09354838709677,78.87096774193549,5.541935483870968,0.055516842752695084,,1.0,0.055516842752695084,0
Dongguan,2014,4,23.16333333333333,82.83333333333333,4.25,0.05552514269948006,,1.0,0.05552514269948006,0
Dongguan,2014,5,25.44193548387097,89.61290322580645,14.993548387096777,0.055533841252326965,,1.0,0.055533841252326965,0
Dongguan,2014,6,28.15333333333333,85.86666666666666,8.443333333333333,0.055511992424726486,,1.0,0.055511992424726486,0
Dongguan,2014,7,28.74516129032258,84.51612903225806,5.080645161290323,0.05550926551222801,,1.0,0.05550926551222801,0
Dongguan,2014,8,28.15806451612903,85.96774193548387,8.012903225806452,0.05551024153828621,,1.0,0.05551024153828621,0
Dongguan,2014,9,27.706666666666667,82.56666666666666,3.02,0.05552700161933899,,1.0,0.05552700161933899,0
Dongguan,2014,10,24.81290322580645,69.83870967741936,0.4387096774193548,0.05560072138905525,,1.0,0.05560072138905525,0
Dongguan,2014,11,21.223333333333336,72.5,0.89,0.05556977167725563,,1.0,0.05556977167725563,0
Dongguan,2014,12,13.812903225806451,59.483870967741936,1.3419354838709678,0.05548015981912613,,1.0,0.05548015981912613,0
Foshan,2014,1,14.40967741935484,63.80645161290322,0.1225806451612903,0.05548509582877159,,1.0,0.05548509582877159,0
Foshan,2014,2,14.178571428571429,73.67857142857143,1.7142857142857142,0.05542942136526108,,1.0,0.05542942136526108,0
Foshan,2014,3,18.835483870967742,79.6774193548387,4.861290322580645,0.05550394207239151,,1.0,0.05550394207239151,0
Foshan,2014,4,23.476666666666667,81.73333333333333,5.430000000000001,0.055539216846227646,,1.0,0.055539216846227646,0
Foshan,2014,5,25.948387096774194,86.7741935483871,12.548387096774194,0.05553483963012695,,1.0,0.05553483963012695,0
Foshan,2014,6,28.73333333333333,82.73333333333333,7.1933333333333325,0.055522315204143524,,1.0,0.055522315204143524,0
Foshan,2014,7,29.067741935483877,81.74193548387096,5.283870967741935,0.055523455142974854,,1.0,0.055523455142974854,0
Foshan,2014,8,28.516129032258064,83.48387096774194,6.409677419354838,0.05551951751112938,,1.0,0.05551951751112938,0
Foshan,2014,9,27.97,80.1,3.25,0.05554164946079254,,1.0,0.05554164946079254,0
Foshan,2014,10,25.18064516129032,66.48387096774194,0.1935483870967742,0.05560914799571037,,1.0,0.05560914799571037,0
Foshan,2014,11,21.00333333333333,72.13333333333334,1.403333333333333,0.05556954815983772,,1.0,0.05556954815983772,0
Foshan,2014,12,13.71935483870968,57.41935483870968,1.4580645161290324,0.05547931790351868,,1.0,0.05547931790351868,0
Guangzhou,2014,1,14.319354838709677,63.61290322580645,0.0967741935483871,0.05548345670104027,1.385,0.19035620203868645,0.010561620093587933,12
Guangzhou,2014,2,14.05,74.57142857142857,1.8357142857142856,0.05541972070932388,0.97,0.133318062077636,0.007388449765850891,12
Guangzhou,2014,3,18.64516129032258,80.3225806451613,7.132258064516129,0.05550840124487877,3.405,0.46798763028283563,0.02597724515937962,12
Guangzhou,2014,4,23.316666666666663,82.26666666666667,5.303333333333333,0.055534280836582184,7.6850000000000005,1.0562363990377657,0.05865732881398356,12
Guangzhou,2014,5,25.66774193548387,88.29032258064517,17.01290322580645,0.05555001646280289,11.905000000000001,1.636238689726038,0.09089308615135643,12
Guangzhou,2014,6,28.55,84.16666666666667,9.39,0.05551943928003311,14.58,2.003894170197869,0.11125508070591292,12
Guangzhou,2014,7,28.951612903225808,83.06451612903226,4.996774193548387,0.055516842752695084,12.99,1.7853625014314347,0.09911768924852732,12
Guangzhou,2014,8,28.396774193548385,84.61290322580645,7.390322580645161,0.05551530048251152,13.15,1.807353109609189,0.10033575095795572,12
Guangzhou,2014,9,27.863333333333333,81.5,3.103333333333333,0.05553358420729637,8.765,1.204673004237608,0.0668998097230859,12
Guangzhou,2014,10,25.01290322580645,68.16129032258064,0.2193548387096774,0.055605992674827576,7.495,1.0301225518266823,0.057280987071049186,12
Guangzhou,2014,11,20.88,73.06666666666666,1.47,0.05556351691484451,3.54,0.48654220593281594,0.02703399608913378,12
Guangzhou,2014,12,13.496774193548386,58.193548387096776,1.1838709677419357,0.055473726242780685,1.44,0.19791547359978953,0.010979108801685013,12
Huizhou,2014,1,14.32258064516129,62.29032258064516,0.0129032258064516,0.05548781529068947,,1.0,0.05548781529068947,0
Huizhou,2014,2,13.832142857142856,75.25,1.2392857142857143,0.05540451034903526,,1.0,0.05540451034903526,0
Huizhou,2014,3,18.538709677419355,79.87096774193549,3.770967741935484,0.05549180507659912,,1.0,0.05549180507659912,0
Huizhou,2014,4,22.636666666666667,84.73333333333333,4.376666666666667,0.055505990982055664,,1.0,0.055505990982055664,0
Huizhou,2014,5,24.861290322580647,91.83870967741936,13.85483870967742,0.05551375076174736,,1.0,0.05551375076174736,0
Huizhou,2014,6,27.646666666666665,87.5,7.846666666666667,0.05550289899110794,,1.0,0.05550289899110794,0
Huizhou,2014,7,28.416129032258063,86.25806451612904,4.625806451612903,0.05549788847565651,,1.0,0.05549788847565651,0
Huizhou,2014,8,27.80322580645161,87.19354838709677,7.412903225806451,0.05550269037485123,,1.0,0.05550269037485123,0
