has_bi,pearson_r,spearman_rho,r2_log,wape
No BI (8),0.6285438998801481,0.5200241008870102,0.613176762577523,0.9005109703805725
Has BI (8),0.7235206178079282,0.5420108115188957,0.6966541397710897,0.7468726676731722
