year,month,tem,cases,beta_briere,beta_obs,m_hat_norm,pool
2005,1,13.945187218040022,0.0,0.0,0.0,0.3247862894364795,1.0
2005,2,14.816800803008675,0.0,0.0,0.0,0.4362011859549008,1.0
2005,3,18.3365050081678,0.0,0.2136853769634063,0.0,0.6793158899406635,1.0
2005,4,23.34535162754752,0.0,0.5984629241373015,0.0,1.0331194096153775,1.0
2005,5,27.773590664161823,1.0,0.9495818043384762,0.22056882502593886,1.4799544528773112,1.0
2005,6,27.9754070238059,1.0,0.9646152080700373,0.21307448480228283,1.5320079974191139,1.0
2005,7,30.0381517844404,2.0,1.1079852873162188,0.6805778509347996,1.499214474583451,1.3
2005,8,28.455302791219676,0.0,0.9997453033152551,0.0,1.4551381046858671,2.3
2005,9,28.57044925811735,4.0,1.0080347316789435,2.4286979381273497,1.3696358705388878,1.0
2005,10,25.19788274181828,0.0,0.7482599407978325,0.0,0.9774830833983419,4.0
2005,11,21.716573512207702,1.0,0.46792681461267255,0.3500815655170675,0.7770375223864323,1.2
2005,12,14.93834067345355,0.0,0.0,0.0,0.2184518939492273,1.0
2006,1,16.271180015820697,0.0,0.07725836925622277,0.0,0.45816860851971175,1.0
2006,2,16.695231267371277,1.0,0.10378328180061133,0.6539372660715463,0.4991790982093079,1.0
2006,3,19.22430835702315,0.0,0.27734989719100106,0.0,0.749877008869781,1.0
2006,4,24.4778997507116,1.0,0.6901566877042621,0.2770666253498955,1.1781708257023669,1.0
2006,5,25.72663070137775,0.0,0.7906236538726641,0.0,1.3155720705158602,1.0
2006,6,28.561104746571026,2.0,1.0073641458087177,0.8940686978463454,1.483590486903519,1.0
2006,7,29.58352560236066,14.0,1.0782680070354071,4.147590425186802,1.6065269769450354,2.0
2006,8,29.5800194150715,288.0,1.078034127671878,13.407769386218662,1.4677976644109407,14.6
2006,9,26.5815468993968,259.0,0.8582090828747257,0.7308461078057759,1.2096582596650978,292.2
2006,10,26.18362627632416,159.0,0.8269185686026558,0.4220780698775605,1.0860212000134275,345.4
2006,11,21.538131981819376,48.0,0.4538330280061506,0.2433600477063563,0.8215920386186837,236.7
2006,12,16.21796131413936,1.0,0.07398824422788326,0.008569916912084362,0.39801911557221437,95.69999999999999
2007,1,13.96842993180015,0.0,0.0,0.0,0.253833714155409,15.399999999999999
2007,2,19.92070109260297,0.0,0.329034689929235,0.0,0.7470918182012354,1.0
2007,3,19.17557502482985,0.0,0.27378761996049583,0.0,0.7282504443388644,1.0
2007,4,22.10487110574406,2.0,0.498767772975582,1.3908858549519958,0.9536597198400831,1.0
2007,5,27.513373078957372,0.0,0.929991968217391,0.0,1.3806777568727415,2.0
2007,6,28.648480326821,1.0,1.0136195015611158,0.21347679950418805,1.529120801516657,1.0
2007,7,30.46159515138244,1.0,1.1345010147923866,0.22022676711448466,1.4822531295360635,1.0
2007,8,28.6791910782325,6.0,1.0158101087825506,2.8293169715838418,1.4481428851118783,1.3
2007,9,28.1429513867897,14.0,0.9769824743383381,1.6156600046608247,1.3092523372255185,6.3
2007,10,24.39041523726715,5.0,0.6830768847597006,0.292719172853054,0.9354522142633477,15.8
2007,11,19.904009853413772,2.0,0.3277796367678424,0.2619807393924635,0.5503357670653435,9.2
2007,12,17.18880154075388,0.0,0.1356680898574948,0.0,0.46674508741047827,3.5
2008,1,12.848008237135108,0.0,0.0,0.0,0.30381725253109504,1.0
2008,2,12.502847605611022,0.0,0.0,0.0,0.20029777002245347,1.0
2008,3,20.17295708381352,0.0,0.348093382437995,0.0,0.7493201770406065,1.0
2008,4,24.77545655743945,0.0,0.7142114602347727,0.0,1.1439943594486968,1.0
2008,5,26.02438089089815,0.0,0.814310699339082,0.0,1.2372156931909741,1.0
2008,6,27.66927291277488,0.0,0.9417554809916383,0.0,1.5991290168745542,1.0
2008,7,29.1807030405091,2.0,1.050958981976837,0.8995162829848327,1.4746056740202673,1.0
2008,8,28.9558523913587,0.0,1.0353495266135695,0.0,1.4678079096544479,2.0
2008,9,28.68510493474305,1.0,1.0162314613659345,0.24587987881138235,1.3276068637298493,1.0
2008,10,26.286446163235823,1.0,0.8350343277269762,0.28360719730167616,1.1509997555380287,1.0
2008,11,19.60747638879854,6.0,0.30561230481228496,7.518471793196072,0.544958517478683,1.3
2008,12,15.6541440290076,0.0,0.04017791984523147,0.0,0.2862526103724137,6.3
2009,1,13.265219432074224,0.0,0.0,0.0,0.19774252850422247,1.7999999999999998
2009,2,21.56456680914645,0.0,0.45591753901539056,0.0,0.8125427637010852,1.0
2009,3,18.89659817815266,1.0,0.25354153427149373,0.4389919338259663,0.7435941064294479,1.0
2009,4,23.251257825271047,0.0,0.5908576228334887,0.0,0.9713757707135758,1.0
2009,5,26.39846897135764,1.0,0.8438529812975495,0.25336995480798097,1.2883603938377162,1.0
2009,6,28.61715782273645,2.0,1.0113809369863438,0.8878231170176679,1.4940271201979283,1.0
2009,7,29.706915130059677,1.0,1.0864541227452293,0.09490900336551662,1.495399497952196,2.3
2009,8,29.87115959139348,6.0,1.0972131474787132,2.2326497182282057,1.4910623269953716,1.6
2009,9,28.860241932563422,2.0,1.0286373872967949,0.1531573709312859,1.3746953948206198,6.3
2009,10,25.886500117563024,2.0,0.8033591909004204,0.3489049083394654,1.000447387072575,3.8
2009,11,18.00443782102538,0.0,0.19058610762570533,0.0,0.551703617531275,2.6
2009,12,15.47243634049045,0.0,0.02961515449713156,0.0,0.4500183011050243,1.0
2010,1,15.95994822496382,0.0,0.05832477028530069,0.0,0.5046005683752253,1.0
