pearson_r,spearman_rho,r2_log,mae,rmse,wape,rmsle,year,obs_total,obs_max,is_outbreak
0.14060766901604466,0.3697350456213761,-0.8146936537719678,1.1345711109858128,1.6987672722864835,1.512761481314249,0.7094818950930273,2005,9.0,4.0,0.0
0.6396855802989762,0.8369636341971836,0.7945699633989913,49.88490830654771,98.45161636874886,0.7744099607743489,0.9898446259178376,2006,773.0,288.0,1.0
0.6792832487942179,0.7424123494599495,0.5192220180514442,2.100759472345382,3.067684668151928,0.813197215101412,0.6111720957066951,2007,31.0,14.0,0.0
-0.09881056711715001,0.35931718822807746,-0.6094257930081579,1.2842417458579931,1.9583303107053325,1.5410900950294377,0.7610387735536437,2008,10.0,6.0,0.0
0.40045221469629305,0.7730835373992196,0.03822624442453948,1.6362528950020965,2.60535224049007,1.30900231600159,0.5926360607412762,2009,15.0,6.0,0.0
0.5885436289408104,0.6058456495254803,0.4736078227707362,5.659861700685134,10.394224436044695,0.9565963437777557,0.8929324611498117,2010,71.0,43.0,1.0
0.4094232191552135,0.8081925748521122,0.5626715840025831,3.2598141786920007,7.543604457115855,0.7670151008686911,0.6436510561876584,2011,51.0,30.0,1.0
0.6869567195328117,0.882702025668565,0.8516427942976701,6.7309154405528595,15.396845422641379,0.5144648744371579,0.570872455583373,2012,157.0,70.0,1.0
0.8088690586438286,0.7725168097442163,0.8515680377103911,71.31983418279839,151.29311746908283,0.6738881970028189,0.8786332928345898,2013,1270.0,711.0,1.0
0.6541237357078848,0.8794326241134752,0.8595039515680948,2213.49446050877,4851.174683192565,0.7105541042775998,1.3147187433614178,2014,37382.0,19484.0,1.0
0.7177133654393455,0.5845106657438845,0.13424738481546272,5.140573885213432,7.814030913305508,0.55077577341572,0.775630450318094,2015,112.0,42.0,1.0
0.8937000649010858,0.7719345764047543,0.547044299415506,8.610012890326368,12.082927283511344,0.41000061382506353,0.8791133174839056,2016,252.0,80.0,1.0
0.8494505220347827,0.80910807093079,0.7871867577073919,38.29801413260523,77.1668506255687,0.48224152108212204,0.8221086978233163,2017,953.0,457.0,1.0
0.8055199659226461,0.9473742528603804,0.888844523093486,51.52843183574609,104.15622278855624,0.4705792861711968,0.6369443372909386,2018,1314.0,574.0,1.0
0.9490016205187498,0.9630946332253991,0.7477312053786149,40.64926419304969,58.831044433750534,0.28863382858970177,0.8632370022103155,2019,1690.0,535.0,1.0
