pearson_r,spearman_rho,r2_log,mae,rmse,wape,rmsle,city_en,has_bi,N_h,eta,scale
0.3613341105452597,0.6044993688488303,0.6954367976563094,16.548705576481055,93.19195348241642,1.2118661528749344,0.7374735460403818,Chaozhou,False,2670000.0,11.052393345044317,1.4296766758192663
0.7400087738875654,0.5511869941005889,0.6551625142084441,2.4403421706244797,10.91646157275169,0.5992654716403898,0.6015100390448379,Dongguan,True,8310000.0,15.27297173526495,1.0648615274149578
0.5922489549137063,0.7304473892887678,0.7826388010532922,27.62234068061852,168.28814192255803,0.9109603009364846,0.752472976612162,Foshan,False,7290000.0,13.712010682389867,1.4812641350951092
0.7329972345600244,0.8128442966164271,0.849644343108376,179.5164168572455,1245.6922795439805,0.7328862561647582,0.7885726541673888,Guangzhou,True,14260000.0,0.6699984524997928,1.3352118104861401
0.8703233321487259,0.43128078068364206,0.6994256675069535,0.6154133859315246,2.3800632004953712,0.6403145055934901,0.34574010945705635,Huizhou,True,4700000.0,3.031010712264448,1.3566273124165307
0.7556820070176101,0.46968171570171396,0.7712266904620335,5.971765023050135,25.278657803261975,0.751165411704419,0.5765347173630756,Jiangmen,True,4510000.0,5.7879117672084135,1.813832462459665
0.7120775283776273,0.46785698896414357,0.6962889679004192,2.4030711004245244,10.613944442590435,0.8100239664352314,0.507789935799998,Jieyang,True,6060000.0,5.7879117672084135,1.2884177496061124
0.6822829342921258,0.4298419416656184,0.6773196329433528,0.9797386541057611,4.259677687854484,0.725732336374635,0.41987341231473263,Maoming,True,6050000.0,3.760384739079474,0.9675049714300143
0.8246844479153733,0.3648713018781975,0.6638306943980437,2.0259095766883255,10.316750270712635,0.7791959910339696,0.4722772179667844,Qingyuan,False,3860000.0,5.19636318041775,1.6860372188056278
0.5192528966967019,0.488580670956773,0.5291836067259172,8.88924005048126,48.67497539184968,1.1012134955861153,0.7652384153764626,Shantou,True,5390000.0,11.052393345044317,0.8226339184203927
0.7755402354830448,0.6848131034622587,0.6949816953132211,5.027675497703205,17.613032193764923,0.6143798978863384,0.6652640318225271,Shenzhen,True,10540000.0,0.13296511785184978,0.9858180995367848
0.7491599928842458,0.5078820558121139,0.5831724525528086,1.78857345768288,10.030581170901367,0.8068752440674626,0.4947802074218574,Yangjiang,False,2490000.0,2.19341220593233,0.9807933716318361
0.3389990332786955,0.48213511989775837,0.5026745043941299,11.025277902733492,51.60628290664693,1.1425158448428483,0.8772069237906407,Zhanjiang,False,7240000.0,7.998142127869324,1.3343634991398432
0.712061231787279,0.3962189791004758,0.434460058104444,1.610324767996992,10.404719439671576,0.8051623839984937,0.5230996822429202,Zhaoqing,False,4020000.0,4.188463031715826,1.2831113708817388
0.7891710943451904,0.6906818278824018,0.7864732713056106,8.033738748346487,29.651172304793747,0.6395723019470884,0.6400372821144404,Zhongshan,False,3180000.0,13.712010682389867,1.2181540093856693
0.6606923333714351,0.38345676438753673,0.4567275211555457,4.186610116527435,19.796298068973822,0.907939543343298,0.7247508811959104,Zhuhai,False,1580000.0,12.310586322885772,0.9174434220192565
