Model,pearson_r,spearman_rho,r2_log,wape,c,T_min,T_max,eta
Standard SEIR ODE,0.19854882401532517,0.6580267704352865,0.42727477679928894,0.9840929521794608,0.00010291589185796625,14.908514550127483,32.000000002109786,0.010115546877866421
Infection-Pool,0.7329972345600244,0.8128442966164271,0.8549837393908394,0.6020172398208964,0.0007066863889713,14.946564530954278,41.99999981729903,0.6735681852369453
