city_cn,city_en,year,month,n_weeks,cases,tem,rhu,pre,Tm,Hm,Rm,m_hat_bi,m_hat_norm,pred_raw,pred_cases,beta_prime,eta,scale_factor
清远市,Qingyuan,2014,9,4,72,27.8039596730107,75.82441382952764,63.481544200020274,22.00115062180121,75.00773621875433,189.55291084181772,1.2709422270050756,1.412209993752958,5.419611744412044,8.466232193831068,0.950221308507969,5.19636318041775,1.5621473627811584
清远市,Qingyuan,2014,10,4,194,24.51638028240285,58.03196054529115,1.6880066984429003,22.00115062180121,75.00773621875433,189.55291084181772,1.0665644133919947,1.18511517799103,59.819482405847396,93.44684668322842,0.6889593292522361,5.19636318041775,1.5621473627811584
清远市,Qingyuan,2014,11,5,27,18.82844754467722,70.994857380221,111.68894971471576,22.00115062180121,75.00773621875433,189.55291084181772,0.6920127326613795,0.7689313299248742,39.951002875220624,62.40935378198837,0.24067230929925643,5.19636318041775,1.5621473627811584
清远市,Qingyuan,2014,12,4,6,12.710213460375474,52.29887929307962,19.42815510649127,22.00115062180121,75.00773621875433,189.55291084181772,0.3128866457409576,0.34766462128530495,0.0519636318041775,0.081174850383427,0.0,5.19636318041775,1.5621473627811584
清远市,Qingyuan,2015,1,4,1,13.986399083363976,68.13952110968143,80.441246852976,22.00115062180121,75.00773621875433,189.55291084181772,0.38756972389089284,0.430648872722212,0.0519636318041775,0.081174850383427,0.0,5.19636318041775,1.5621473627811584
清远市,Qingyuan,2015,2,4,0,16.29498089315735,73.34059427116678,100.87068889539027,22.00115062180121,75.00773621875433,189.55291084181772,0.5291495463339335,0.5879655751808147,0.16684621942474953,0.26063838166437897,0.06978213914336412,5.19636318041775,1.5621473627811584
清远市,Qingyuan,2015,3,5,0,18.9169207808144,84.0573507403432,154.1971126639172,22.00115062180121,75.00773621875433,189.55291084181772,0.6978025220219943,0.7753646659357897,0.10943870277214593,0.17095938092169882,0.24708834218284295,5.19636318041775,1.5621473627811584
清远市,Qingyuan,2015,4,4,0,22.0732898825859,76.22192214806428,173.270486232816,22.00115062180121,75.00773621875433,189.55291084181772,0.9063611111999705,1.0071049588161358,0.05690015443350151,0.08888642619013502,0.49016962791315744,5.19636318041775,1.5621473627811584
清远市,Qingyuan,2015,5,5,0,26.074614963878624,90.04290238061121,899.69345414411,22.00115062180121,75.00773621875433,189.55291084181772,1.1656952796303346,1.295264637987383,0.06252292496071711,0.0976700223407485,0.8152228391679813,5.19636318041775,1.5621473627811584
清远市,Qingyuan,2015,6,4,0,29.0881141733168,84.75583220301768,251.6105463091838,22.00115062180121,75.00773621875433,189.55291084181772,1.3447302063671427,1.4941996543841112,0.06756329031155921,0.10554381578102001,1.0440143297859132,5.19636318041775,1.5621473627811584
清远市,Qingyuan,2015,7,4,0,28.188300144541174,81.62705998103402,314.999573119506,22.00115062180121,75.00773621875433,189.55291084181772,1.2934631580791704,1.437234171292801,0.0660342086277139,0.1031551648611241,0.9790037771562192,5.19636318041775,1.5621473627811584
清远市,Qingyuan,2015,8,5,0,28.37156474613032,81.36363858605958,327.4154469989763,22.00115062180121,75.00773621875433,189.55291084181772,1.3040752037158458,1.4490257669954556,0.06634563068799386,0.1036416520113023,0.992528857070453,5.19636318041775,1.5621473627811584
清远市,Qingyuan,2015,9,4,0,27.45746451742528,77.9944551548501,98.56905440030678,22.00115062180121,75.00773621875433,189.55291084181772,1.250345479737102,1.389323876892101,0.06479863828553858,0.1012250219095643,0.9238311307276188,5.19636318041775,1.5621473627811584
清远市,Qingyuan,2015,10,4,0,23.815144793177325,71.11928072553297,124.7671045165782,22.00115062180121,75.00773621875433,189.55291084181772,1.0210155088880997,1.134503421785181,0.0591296359444995,0.09236920485290988,0.6316423558287765,5.19636318041775,1.5621473627811584
清远市,Qingyuan,2015,11,5,0,19.63242490830922,77.19893529168536,116.51459544031124,22.00115062180121,75.00773621875433,189.55291084181772,0.7448026317126604,0.8275889316831412,0.05444567003071421,0.08505215985333335,0.29991196492789807,5.19636318041775,1.5621473627811584
清远市,Qingyuan,2015,12,4,0,14.095890324938653,74.46247894371785,162.9279660320082,22.00115062180121,75.00773621875433,189.55291084181772,0.3941038512330404,0.4379092813678352,0.0519636318041775,0.081174850383427,0.0,5.19636318041775,1.5621473627811584
清远市,Qingyuan,2016,1,5,1,12.178628977616084,75.70653876889217,358.4643399411201,22.00115062180121,75.00773621875433,189.55291084181772,0.28261622428969674,0.31402958203625986,0.0519636318041775,0.081174850383427,0.0,5.19636318041775,1.5621473627811584
