formula,description,n_params,r2,correlation,rmse,is_best
F1: a·exp(-((T-T₀)/σ)²),纯温度高斯,3,-0.003492982814622181,0.05420439683194332,2.3263246012838636,False
F2: a·G(T)·(c+(1-c)·(1-e^(-bR))),温度高斯 × 降水饱和,5,-0.0036863791114787325,0.05348202702183019,2.3265487587499902,False
F3: a·G(T)·G(H),温度高斯 × 湿度高斯,5,0.39126266825147626,0.6270498997877549,1.811874495036633,False
F4: a·G(T)·G(H)·rain_effect,温度 × 湿度 × 降水 (完整),7,0.39104037178894424,0.626871443137145,1.8122052916755844,False
F5: a·T·(T-Tmin)·√(Tmax-T) (Brière),Brière温度响应 (昆虫学经典),3,-0.7414716450311423,-0.656342638075741,3.064582711889463,False
F6: a+bT+cT²+dT³,三次多项式,4,0.4467636051260373,0.6684037742346193,1.727302950228616,True
