,pearson_r,spearman_rho,r2_log,wape
No BI,0.41817874815142836,0.49141663810197933,0.35744145946049855,0.9525993595898278
Has BI,0.5111869941690798,0.4687041925381287,0.347946893042778,0.9386842527491349
