parameter,value
a0,0.18007314093688184
aT,5.064743646028256e-05
aH,4.443233301388046e-05
aR,-3.327209798791916e-05
aTT,2.6951634834627026e-06
aHH,-6.715268865865396e-07
aRR,-2.1668479052499787e-08
aTH,8.071259723841985e-08
aTR,8.388532330274462e-07
aHR,3.084013280776357e-07
