,r2,corr,rmse,mae,aic,bic,n_params
polynomial,0.6443287468682972,0.8027009075513348,0.0007108916591275036,0.000563056740849077,-2589.636586455808,-2557.7070179469056,10.0
physics,-75.74426949871409,0.09878173752906375,0.010442440621590542,0.003946512353660116,-1630.2757012204484,-1611.117960115107,6.0
