pearson_r,spearman_rho,kendall_tau,r2_log,mae,rmse,wape,rmsle,city_en
0.2829559750171809,0.5237339096425143,0.4177697332655598,0.42070352406965617,12.56384586797855,80.36333172683358,0.9200538064426925,1.0170871665224228,Chaozhou
0.5312050371746541,0.5443807944980885,0.43156747587306427,0.2875917319359421,3.756564031328691,15.770192907240506,0.9224850281571125,0.8645699180722758,Dongguan
0.42783705635222163,0.6455051620158213,0.5150046516417379,0.363315861958296,28.614344055360764,175.35967647738318,0.9436756925549535,1.2878400072133018,Foshan
0.5057159903664645,0.7151327748649693,0.5494008124995758,0.3174097749829117,230.87937553623982,1737.020514096776,0.9425785347362932,1.680203398683402,Guangzhou
0.5873362783378728,0.47098448846592267,0.3845446135068689,0.4153216295779494,0.9277593571950516,4.465962210223708,0.9652987531509153,0.48220569299966015,Huizhou
0.5278769279139293,0.4570892825229472,0.36418211086843694,0.440717522893862,7.468101089696171,32.96276159799191,0.9393837848674423,0.9014432546431417,Jiangmen
0.5344687687273328,0.4585434077929496,0.3685919088319563,0.4104705020028352,2.766368689586641,12.722866323717119,0.9324838279505514,0.707467633099732,Jieyang
0.45388317254932514,0.2036245962443297,0.16036005435935316,0.2910547921882053,1.3407578565313802,5.633137289557124,0.9931539678010183,0.6223553669547625,Maoming
0.4062329114133155,0.39625261862086064,0.3172982652646516,0.4038137047191105,2.427509903869719,15.736267132106265,0.9336576553345054,0.6289396317216543,Qingyuan
0.4403529367661482,0.27160936409854863,0.2131179555438929,0.33612258993367483,7.68100822624516,47.08636357311397,0.9515357747585189,0.9086882685475258,Shantou
0.5086568415169112,0.6282688318172743,0.48778645540623927,0.28488660082684336,7.058569768841218,26.216688698406273,0.8625543505712276,1.0186348956274778,Shenzhen
0.516549472186953,0.46923771899217326,0.3828977763935441,0.3126092226831061,2.1763110580735425,13.47510686335104,0.9817944622888137,0.6353835433570904,Yangjiang
0.26934730173574206,0.47414378691735554,0.37813860588200443,0.36720748902314004,9.166259163551794,45.6905086471824,0.9498714159121026,0.9894921524226102,Zhanjiang
0.415405294622565,0.39480907255518105,0.3180721430227949,0.2916648232151463,2.0572737133082786,14.034066496362033,1.0286368566541364,0.5854262874992571,Zhaoqing
0.5734018084394541,0.6028768434599238,0.48186994602614763,0.4210696528378792,11.47379917702538,45.53397404812271,0.9134382361187827,1.0538827762988037,Zhongshan
0.45370016544399455,0.42477399261200477,0.33892174593712127,0.27914739717765413,4.379018909291602,25.21383613295561,0.9496667514126355,0.8348397800886647,Zhuhai
