subset,scheme,N,MAE,RMSE,MAPE,Spearman_rho,Spearman_p
all,scale_with_guangzhou,16,655.8399226767299,1500.389970498124,1.1286963107524408,0.9,2.0510898633789e-06
all,scale_without_guangzhou,16,1492.2887416847313,5738.205382573795,0.22386624508077593,0.9,2.0510898633789e-06
all,loglinear_without_guangzhou,16,1675.433328105767,6387.252841294275,0.2585450339014458,0.9,2.0510898633789e-06
non_gz,scale_with_guangzhou,15,699.5625841885119,1549.596098281566,1.2039427314692703,0.8785714285714284,1.63152802865443e-05
non_gz,scale_without_guangzhou,15,61.88390575506124,116.82771796505212,0.19786479463756765,0.8785714285714284,1.63152802865443e-05
non_gz,loglinear_without_guangzhou,15,84.12214780732285,115.41085249505254,0.23022450427884925,0.8785714285714284,1.63152802865443e-05
