pearson_r,spearman_rho,kendall_tau,r2_log,mae,rmse,wape,rmsle,test_year
0.07638207345968526,0.3304015301297404,0.3038948705590345,-0.33867134895998174,0.7670712123349784,1.3312115667416116,1.0227616164465243,0.6093637867318198,2005
0.6418157421715125,0.8156848977345432,0.699205898780101,0.20977472487640114,59.22660412948709,114.06856537969807,0.919429818310277,1.9413798423113626,2006
0.66046538295829,0.593202024323391,0.4690176471209656,-0.30078845667306786,2.44249480922142,4.4565095625699644,0.9454818616340676,1.0052974234765801,2007
-0.09497164256819447,-0.2669309479127954,-0.22259728109199706,-0.35635167524967115,0.850278325824103,1.8636941451926312,1.0203339909888216,0.69864645436293,2008
0.046902790384638765,0.09571510463037958,0.17407765595569782,-0.8222142540681221,1.2201234147366125,2.0272315063520203,0.9760987317892248,0.8157391999971144,2009
0.4998278609484304,0.29918303680270636,0.20889318714683738,-0.21849403656564115,5.737255353319164,13.365788686799835,0.9696769611243523,1.358549922693816,2010
0.3523392140049649,0.5818986538935207,0.4605661864718383,-0.6216907244629852,4.097083310690737,8.965177591644538,0.9640196025154485,1.2394546867746552,2011
0.6229677735930496,0.8257535078834962,0.699205898780101,-0.14028700424974772,12.346560360013134,23.452738668501883,0.943686142166603,1.5826754067476745,2012
0.6198159148446964,0.7936816538467976,0.6565706694547585,0.11880225947949652,102.66479691696127,227.76763744057553,0.9700610732311293,2.1408223413557197,2013
0.5864070161258428,0.8521338063968384,0.6978631577988531,0.46057408341416906,2976.8272155731142,6740.169999559368,0.9555916373355458,2.576123645233093,2014
0.016619821330743172,0.42531346865098013,0.2636371929462334,-2.6311205575000374,8.64568918817922,13.783280550228133,0.9263238415906226,1.5884672991641082,2015
0.8554373392250124,0.6807059446478287,0.5846845821518305,-0.9280151361670277,19.503800654175244,32.01134986633097,0.9287524121035794,1.8137282346183945,2016
0.7062970629599425,0.7040291006800381,0.5343667144834019,-0.3198005949297069,74.30546133575656,146.3463941472713,0.935640646410365,2.0473122202390877,2017
0.7175748514317698,0.8736895887490174,0.7077760731311632,-0.23847510205486655,102.72778359469218,191.51528316846725,0.9381532748373709,2.1260804194257763,2018
0.8809614595418044,0.8456192405161171,0.7077760731311632,-0.784479540159525,131.13334114476956,213.27314484592858,0.9311243158208484,2.2959058165713744,2019
