pearson_r,spearman_rho,kendall_tau,r2_log,mae,rmse,wape,rmsle,model,city_en
0.2829559750171809,0.5237339096425143,0.4177697332655598,0.42070352406965617,12.56384586797855,80.36333172683358,0.9200538064426925,1.0170871665224228,SEIR+NN,Chaozhou
0.329154218937142,0.49306103025078896,0.42735361416956186,-0.39522385725124964,19.38293650793651,77.0877564459983,1.4194176450075553,1.5784458153246235,HistMean,Chaozhou
0.14696012653609736,0.2805463281222025,0.22111326199474063,-1.8639943395792793,23.023300785822165,80.75024239874833,1.686002498554918,2.2614855069449806,LinReg,Chaozhou
0.15194765275621874,0.5517775021338391,0.5071774312416119,0.3399962947443923,19.011111111111113,105.69857562374665,1.392188771358828,1.0856277053549435,SeasonNaive,Chaozhou
0.5312050371746541,0.5443807944980885,0.43156747587306427,0.2875917319359421,3.756564031328691,15.770192907240506,0.9224850281571125,0.8645699180722758,SEIR+NN,Dongguan
0.3538335593107485,0.40751555551690516,0.3305367540200745,-0.03534584967186438,4.745634920634919,15.460100610421454,1.1653673747807427,1.0422655144462247,HistMean,Dongguan
0.29308247365112633,0.25894092687053377,0.20357631013825941,-0.32907489832524073,5.11879646462725,15.759320669294986,1.2570032246015057,1.1808925231701661,LinReg,Dongguan
0.09997412016950386,0.41078970045147045,0.36755851645819587,0.074875415299818,5.372222222222222,20.35586183660891,1.319236016371076,0.9852257546090073,SeasonNaive,Dongguan
0.42783705635222163,0.6455051620158213,0.5150046516417379,0.363315861958296,28.614344055360764,175.35967647738318,0.9436756925549535,1.2878400072133018,SEIR+NN,Foshan
0.30207425795343795,0.5522838518543316,0.4505159444321232,0.21340725719567333,31.08452380952381,177.91642610189407,1.025140030361723,1.4314456561344724,HistMean,Foshan
0.22471001037265845,0.38456418025195177,0.29942184643340963,-0.48267858339736347,34.88017772717471,180.43890466578958,1.15031733068733,1.965275339303154,LinReg,Foshan
0.11738564672328586,0.6049888498359784,0.5344826958497649,0.42792128981734445,43.022222222222226,240.9527846787508,1.418834737999267,1.220752972035841,SeasonNaive,Foshan
0.5057159903664645,0.7151327748649693,0.5494008124995758,0.3174097749829117,230.87937553623982,1737.020514096776,0.9425785347362932,1.680203398683402,SEIR+NN,Guangzhou
0.24957456898335356,0.6307476326501658,0.48538942202428303,0.31323508247933163,246.41587301587302,1777.6497596622373,1.0060071930790915,1.6853335925454358,HistMean,Guangzhou
0.20806321740771036,0.4569266791173707,0.33407247087320535,-0.3213540882014905,256.84044839884916,1783.739702076067,1.0485661309093413,2.3377142967806863,LinReg,Guangzhou
0.014750358677070627,0.7210464104457042,0.5828197749633385,0.3584578019925282,435.0111111111111,2497.9429959691056,1.7759582671807665,1.6289000640629396,SeasonNaive,Guangzhou
0.5873362783378728,0.47098448846592267,0.3845446135068689,0.4153216295779494,0.9277593571950516,4.465962210223708,0.9652987531509153,0.48220569299966015,SEIR+NN,Huizhou
0.3244907980287344,0.2625968537717753,0.22678068364401577,-0.27555779910191625,1.4507936507936505,4.534004802212417,1.5094962840627493,0.7122359498429781,HistMean,Huizhou
0.3210554551741469,0.17501015555646432,0.14635169595371378,-0.4845823663877622,1.6069120243920647,4.568221754378541,1.671931586072659,0.7683798517447397,LinReg,Huizhou
0.009414435033605065,0.1577596371082775,0.152297015143106,-0.2850042414573819,1.211111111111111,5.2451035367389185,1.260115606936409,0.714868400186827,SeasonNaive,Huizhou
0.5278769279139293,0.4570892825229472,0.36418211086843694,0.440717522893862,7.468101089696171,32.96276159799191,0.9393837848674423,0.9014432546431417,SEIR+NN,Jiangmen
0.403557625849891,0.33196739760433486,0.28369618758974113,-0.2743023537298208,10.18095238095238,31.518536460146258,1.2806229410002985,1.3606894879235072,HistMean,Jiangmen
0.3086061907055192,0.1452949868617587,0.11658902485819235,-1.0103061123998174,11.571797126156651,32.73762724043323,1.455571965554295,1.7090465170580826,LinReg,Jiangmen
0.3245965805638298,0.4629650815977611,0.4275519842924098,0.2570403005682237,9.122222222222222,38.59389704200508,1.1474493361285807,1.038975760294096,SeasonNaive,Jiangmen
0.5344687687273328,0.4585434077929496,0.3685919088319563,0.4104705020028352,2.766368689586641,12.722866323717119,0.9324838279505514,0.707467633099732,SEIR+NN,Jieyang
0.35542395536760746,0.29525899796168675,0.24910852183629215,-0.5553252104419408,4.436507936507937,12.40221160147293,1.4954521134296388,1.1491174270579811,HistMean,Jieyang
0.2845436806140644,0.16557767279249427,0.13863701074154108,-1.0618227088576715,4.990122625034561,12.755695103440774,1.682063806191422,1.3230597712701035,LinReg,Jieyang
0.2760664107886835,0.5621871113277549,0.5345200299519898,0.266348882058683,3.3722222222222222,13.589006995035035,1.136704119850185,0.7892209353189734,SeasonNaive,Jieyang
0.45388317254932514,0.2036245962443297,0.16036005435935316,0.2910547921882053,1.3407578565313802,5.633137289557124,0.9931539678010183,0.6223553669547625,SEIR+NN,Maoming
0.2718581736726192,0.29437484441975714,0.2440851028293343,-0.12320784126164042,1.857936507936508,5.632595652702941,1.3762492651381484,0.7833613979620513,HistMean,Maoming
0.23953210489835547,0.2301170131587189,0.18354386878917825,-0.20537751839323848,1.9368985989600913,5.679541100881872,1.4347397029333953,0.8115095724383093,LinReg,Maoming
0.06282195659058824,0.5689042785161504,0.5362505097516176,0.03146791845916863,1.7166666666666666,7.409828308102392,1.2716049382715997,0.7274264843053305,SeasonNaive,Maoming
0.4062329114133155,0.39625261862086064,0.3172982652646516,0.4038137047191105,2.427509903869719,15.736267132106265,0.9336576553345054,0.6289396317216543,SEIR+NN,Qingyuan
