city_en,year,month,cases,tem,rhu,pre,index_norm_city,beta_formula,risk_monthly,pool_obs_lag
Chaozhou,2004,12,0,5.96301508233013,33.8933863679763,0.0,1.0,0.19221456052887562,0.19221456052887562,1.0
Chaozhou,2005,1,0,13.33427676853736,72.32048508266912,12.800368205795294,1.0,0.19272775113977827,0.19272775113977827,1.0
Chaozhou,2005,2,0,14.415287316064624,80.53199220895408,96.69738256475802,1.0,0.19243564583513248,0.19243564583513248,1.0
Chaozhou,2005,3,0,16.172332736534152,78.02903512470812,95.52771824484248,1.0,0.19307726219500465,0.19307726219500465,1.0
Chaozhou,2005,4,0,21.79562742053775,80.57141492400292,78.85381708477736,1.0,0.19435175006985386,0.19435175006985386,1.0
Chaozhou,2005,5,0,25.67988559713184,87.24019274994166,322.4647114994972,1.0,0.1959788457366279,0.1959788457366279,1.0
Chaozhou,2005,6,0,26.6822499439538,88.38440048994785,371.8882310951081,1.0,0.19637345342472046,0.19637345342472046,1.0
Chaozhou,2005,7,0,28.63920453743234,82.41688944626443,144.39768849520854,1.0,0.196305641411492,0.196305641411492,1.0
Chaozhou,2005,8,0,27.2097874064522,87.82546862965344,377.2872070323937,1.0,0.19659993339377002,0.19659993339377002,1.0
Chaozhou,2005,9,0,27.48347832332253,83.0703957006238,120.6526152374269,1.0,0.19582707863708926,0.19582707863708926,1.0
Chaozhou,2005,10,0,23.69030501133158,75.0922748381799,30.04853843240369,1.0,0.19468116292240004,0.19468116292240004,1.0
Chaozhou,2005,11,0,20.618948919577026,74.3642244180237,16.305478022048906,1.0,0.1940938903074436,0.1940938903074436,1.0
Chaozhou,2005,12,0,14.621049964052023,55.68572234371217,12.86595536465469,1.0,0.19361946000704447,0.19361946000704447,1.0
Chaozhou,2006,1,0,15.140227607807338,74.78147095607918,27.02167423675545,1.0,0.19299133492799617,0.19299133492799617,1.0
Chaozhou,2006,2,0,15.509660479550677,73.72424161239292,83.91529577624513,1.0,0.19311001827327223,0.19311001827327223,1.0
Chaozhou,2006,3,0,18.0278262498348,81.75472086069725,121.7336887605282,1.0,0.19342133464599343,0.19342133464599343,1.0
Chaozhou,2006,4,0,22.582706238638146,84.38550177476752,222.69925414862016,1.0,0.19483560464188132,0.19483560464188132,1.0
Chaozhou,2006,5,0,24.13610807017945,85.64695160914843,403.53567040502605,1.0,0.19512721062685637,0.19512721062685637,1.0
Chaozhou,2006,6,0,27.0043767394715,88.3941788002029,293.2086324740481,1.0,0.19644572058099827,0.19644572058099827,1.0
Chaozhou,2006,7,1,28.09755807933224,87.70444561815395,639.4550342957298,1.0,0.19570817392782655,0.19570817392782655,1.0
Chaozhou,2006,8,0,28.26011908767875,84.99935576377457,136.4637226063537,1.0,0.19607412993789286,0.19607412993789286,1.0
Chaozhou,2006,9,11,25.68313979086017,79.78387118669332,163.46070166775533,1.0,0.19574148079927534,0.19574148079927534,1.0
Chaozhou,2006,10,3,24.6569648095316,71.50475715896077,10.552321190276906,1.0,0.1948175924990085,2.1429935174890935,11.0
Chaozhou,2006,11,0,20.7660093354136,74.73379994389555,132.62116941525264,1.0,0.19446444077993807,1.2251259769136098,6.3
Chaozhou,2006,12,0,15.72367477098078,71.65125365422065,55.30590889846813,1.0,0.19328363684031755,0.19328363684031755,1.0
Chaozhou,2007,1,0,14.003454756553875,66.8758301425838,20.38825671417248,1.0,0.1931391716668377,0.1931391716668377,1.0
Chaozhou,2007,2,0,17.987075220479774,75.418994576795,29.65759559453648,1.0,0.1935819285470136,0.1935819285470136,1.0
Chaozhou,2007,3,0,18.423271682540623,79.35543210094582,49.31404715914892,1.0,0.1935212970169083,0.1935212970169083,1.0
Chaozhou,2007,4,0,20.553075926439934,79.51347503735482,210.88482676895148,1.0,0.19427129484000918,0.19427129484000918,1.0
Chaozhou,2007,5,0,25.559325370633324,81.93740539207057,182.65149945220432,1.0,0.19574006296605026,0.19574006296605026,1.0
Chaozhou,2007,6,0,27.0735135484431,89.9227138976965,412.1084470222175,1.0,0.19649984830287887,0.19649984830287887,1.0
Chaozhou,2007,7,0,29.16059754612444,82.31387766491319,77.4341519769897,1.0,0.19579114558527885,0.19579114558527885,1.0
Chaozhou,2007,8,2,27.1699331049872,88.0385130798428,542.49978390747,1.0,0.19596482634422333,0.19596482634422333,1.0
Chaozhou,2007,9,2,27.047376998615945,77.76820296552458,171.00473651415993,1.0,0.19617279898122714,0.3923455979624543,2.0
Chaozhou,2007,10,0,22.8609722989908,70.9788687843437,23.606453155334545,1.0,0.1946528773328798,0.5060974810654876,2.6
Chaozhou,2007,11,0,19.289896290058,62.07282874277905,18.064479853271607,1.0,0.19429516315017797,0.19429516315017797,1.0
Chaozhou,2007,12,1,16.710518195745117,67.84439026952927,9.84262307369986,1.0,0.19364386667974795,0.19364386667974795,1.0
Chaozhou,2008,1,0,14.566409531483044,72.48681591339553,64.0616807577818,1.0,0.19295149746343124,0.19295149746343124,1.0
Chaozhou,2008,2,0,12.23108558857348,69.30113833640718,39.44334102288792,1.0,0.1925781308555246,0.1925781308555246,1.0
Chaozhou,2008,3,0,18.34862798234546,73.47900600110114,69.00372470756959,1.0,0.19382986088403856,0.19382986088403856,1.0
Chaozhou,2008,4,0,22.754132604892227,81.91901055558525,140.53385144500692,1.0,0.19479277676292323,0.19479277676292323,1.0
Chaozhou,2008,5,0,24.1913896414977,79.24571667141423,178.6490879792786,1.0,0.1953937556249882,0.1953937556249882,1.0
Chaozhou,2008,6,0,26.26697545963024,89.46217566259878,464.2304540466615,1.0,0.19594300727688704,0.19594300727688704,1.0
