parameter,value
a0,0.1897674244843719
aT,0.0001609052617002778
aH,7.299533840744311e-05
aR,-2.3439655232565027e-05
aTT,-3.490054472267117e-06
aHH,-1.1047531878698627e-06
aRR,-1.8335003495632352e-08
aTH,2.0127588600155446e-06
aTR,7.653592895963319e-07
aHR,1.7911579942296075e-07
