temperature,P_T,cases
15.16995951417,2.9478141853898045e-05,8
17.0125,0.00046833117916330404,6
18.881592920354,0.028223134983974562,6
22.8604166666667,0.7272703168909292,5
26.4127125506073,2.5134565761608765,8
29.3113333333333,3.2518374084586825,6
28.8492741935484,3.2549893181088967,15
28.9476113360324,3.2588333138326906,58
27.8740833333334,3.0934717238224154,1141
25.2289430894309,1.8829555844866592,344
22.8348333333333,0.7176208824916432,77
16.7198380566802,0.00033791051024541707,9
14.3283870967742,0.01,7
13.9564511106892,0.01,15
16.930415959253,0.000428477097430378,9
23.494859483961,0.9903227637270938,7
26.3998677680554,2.5070891567540645,12
28.8366666666667,3.2543229864599326,10
29.4899595141701,3.235942097209672,38
28.3416129032258,3.19787451819115,56
27.7438493723849,3.0562666759277275,224
26.0737903225807,2.3406671988273806,112
20.6630833333333,0.17138646904593102,49
18.0618623481781,0.008232436788216313,5
17.0439810856329,0.0004843365843179987,9
15.8711607142857,0.00010864530098471763,6
18.5101201514954,0.01701102566746323,6
22.4721976987448,0.5891581869148865,10
25.6191935483871,2.0972206096371204,11
28.444319735007,3.214335784290945,23
28.465,3.217356091825325,39
29.3103225806452,3.251903796298484,196
28.8885833333333,3.2568143544116754,385
25.3130220713073,1.929264220489606,758
20.8778333333334,0.20344366164825495,208
16.4512096774194,0.00024420144127182354,11
14.8050806451613,0.01,2
15.0386607142857,2.1571012431426542e-05,3
20.1391935483871,0.10898174203832048,2
22.8470292887029,0.7222113543943895,8
27.8200809716599,3.0784535369199055,24
27.9156666666667,3.1046343351409695,31
28.8931174089069,3.2570002050074653,74
28.2395967741935,3.179151906975007,349
27.6331624825662,3.022046495430972,1211
23.8795161290323,1.1703195011514302,1262
21.4488129601186,0.30986715808937565,315
17.2776488833747,0.001023659245078726,34
16.3933302860128,0.00022687390713946535,34
18.6429464285714,0.02054939122358923,13
19.6688383178791,0.06916683512483164,19
23.6990258019526,1.0841002199891,39
24.935564516129,1.7217374547430133,89
28.3145390516039,3.193134147533495,265
29.0627419354839,3.2602578126292694,428
28.9638866396761,3.2592369304898745,1347
28.0769166666667,3.1445331387927307,1517
25.3271370967742,1.9370359931694736,1786
21.3425573570432,0.28757804807489923,473
17.5380487804878,0.0025758232696823755,32
