week,observed,predicted,bi,m,R0,i_v,i_h
0,1.8475750577367205,1.8451822259204647,0.3368544837097245,3.368544837097245,29.445322002598292,0.01,1.316670633595308e-07
1,1.7409021329251315,579792.3650765835,0.4542890357109929,4.542890357109929,39.71058004466721,0.017793391589661447,0.04137236799461849
2,1.6342292081135426,1854286.7445586675,0.5306416580082279,5.30641658008228,46.38476031540454,0.04761798988286204,0.13231673644631567
3,1.5275562833019536,3694717.647764825,0.5805794076277793,5.805794076277793,50.749948219211475,0.12402252228417725,0.2636447586531201
4,1.4208833584903648,3809377.1080657737,0.6187693415959965,6.187693415959965,54.0882291604892,0.22722876946454654,0.27182653832351744
5,1.3856812933025404,2270269.519001462,0.6598785169392292,6.598785169392292,57.681688543638906,0.2948552181639886,0.16200010839171275
6,1.3856812933025404,1057477.040779657,0.7185739906838271,7.185739906838271,62.812411773061804,0.3047827517679426,0.07545861572567839
7,1.3856812933025404,443725.8091466762,0.8095228198561397,8.095228198561397,70.76248425315906,0.27467247139895445,0.0316630376157183
8,1.3856812933025404,176659.86438985058,0.947392061482517,9.47392061482517,82.8139913883319,0.22705974077758215,0.01260595578634584
9,1.3675468960845703,68274.69970477275,1.146581510746763,11.46581510746763,100.22565653380794,0.17737771385473824,0.0048718923722543715
10,1.3142104336787759,25917.88495273366,1.4061988309744264,14.061988309744265,122.91947823203029,0.1334737434869488,0.0018494280685552775
11,1.2608739712729813,9728.848614849883,1.702066830652658,17.02066830652658,148.78206561649108,0.09799913296092368,0.0006942235346688942
12,1.207537508867187,3625.7032686237812,2.0080533846566553,20.080533846566553,175.5291420154419,0.07082234287274941,0.0002587200848168818
13,1.1563345049576241,1344.8768730564036,2.2980263709385174,22.980263709385174,200.87643102609417,0.050672871599304725,9.59666671226205e-05
14,1.3163438921750075,497.31297725481244,2.5490237901674364,25.490237901674362,222.81676487477588,0.03603258673336518,3.548686864955134e-05
15,1.476353279392391,183.5216982657029,2.750389413392521,27.503894133925208,240.41865501682872,0.025526263250674554,1.3095597136128365e-05
16,1.6363626666097744,67.63215102544736,2.894452526424423,28.94452526424423,253.0115844776593,0.01804302271216203,4.826041888500596e-06
17,1.7963720538271577,24.901420712270312,2.973542415073794,29.73542415073794,259.9250362826743,0.01273687098625808,1.7768960120073008e-06
18,1.77503746886484,9.162861471356793,2.9819067441627327,29.819067441627325,260.65618393030877,0.008984364276802546,6.538362688280857e-07
19,1.668364544053251,3.370245013669009,2.935048802341398,29.35048802341398,256.5602099948774,0.006334670061596312,2.404912953952483e-07
20,1.561691619241662,1.2392916065513446,2.8617045154101555,28.617045154101554,250.14899610228628,0.004465337702369932,8.843239664273902e-08
21,1.4550186944300731,0.45562363163757047,2.7908097297991032,27.908097297991034,243.95189945796358,0.003147204617250258,3.251203308388543e-08
22,1.5536911498807937,0.1674888133652775,2.7509660956229958,27.509660956229958,240.4690643027094,0.0022180046541884794,1.1951535133814578e-08
23,2.033719311532944,0.061564408720485866,2.752934246290321,27.52934246290321,240.64110544495813,0.0015630812985901526,4.393064701047943e-09
24,2.5137474731850937,0.02262818405157412,2.781022640966841,27.81022640966841,243.09638469989866,0.0011015154276594302,1.6146841766500729e-09
25,2.9937756348372435,0.008316750016244793,2.817399128600223,28.173991286002227,246.27614760491454,0.0007762365279032767,5.934601124764374e-10
26,3.510072590925333,0.0030566578540646813,2.844231598135656,28.442315981356558,248.6216431936762,0.0005470091063461833,2.181145892724905e-10
27,5.803540474374495,0.0011233957800377515,2.8489934905523175,28.489934905523175,249.03789253079697,0.00038547250152816675,8.016239332365859e-11
28,8.097008357823656,0.0004128705463792592,2.839145131327635,28.39145131327635,248.17702196919885,0.0002716385250161413,2.9461292020783446e-11
29,10.390476241272818,0.0001517370948303053,2.8268525150551596,28.268525150551596,247.10249257475172,0.00019142067698368315,1.082753638007031e-11
30,12.683944124721979,5.5765736993321946e-05,2.8242816363284415,28.242816363284415,246.87776541332528,0.00013489196317983374,3.979287640453971e-12
31,53.25165743056914,2.049470464169483e-05,2.842273248635727,28.422732486357273,248.45045879682928,9.505679450524337e-05,1.4624450293773964e-12
32,111.01504621604458,7.532079573620314e-06,2.87749719637843,28.7749719637843,251.5294752079047,6.698540396784099e-05,5.374682156144081e-13
33,168.77843500152002,2.768136336395369e-06,2.9180350004399034,29.180350004399035,255.07298954894262,4.720382125547912e-05,1.9752649753070996e-13
34,226.54182378699545,1.0173247508460002e-06,2.9518480015630226,29.518480015630225,258.02867146529917,3.326397246351517e-05,7.259346017168548e-14
35,248.20709481622922,3.7387932381322833e-07,2.967041978648982,29.67041978648982,259.35681631547044,2.3440725899441927e-05,2.6678986999659508e-14
36,205.69793427881103,1.3740517429112665e-07,2.9589323343367866,29.589323343367866,258.64793132314566,1.65184006131336e-05,9.804850456052994e-15
37,163.18877374139282,5.049804820049346e-08,2.933243727127636,29.33243727127636,256.40242369996815,1.164032026962873e-05,3.603400042849541e-15
38,120.67961320397461,1.8558634046735473e-08,2.8965123638032035,28.965123638032036,253.1916401925877,8.202795090603301e-06,1.3242924251987638e-15
39,79.01850241880855,6.82051806476636e-09,2.855274286409188,28.55274286409188,249.58691314765625,5.780412016294855e-06,4.866931686004253e-16
40,64.77766695646142,2.5066210278354338e-09,2.809399105079624,28.09399105079624,245.5768448496175,4.073387506658494e-06,1.7886549363746496e-16
41,50.53683149411429,9.21212806094781e-10,2.734383552582043,27.34383552582043,239.01954130961914,2.870467662697472e-06,6.573517954151429e-17
42,36.29599603176716,3.385565624752855e-10,2.600155840166309,26.00155840166309,227.28634966488715,2.0227843745810593e-06,2.415845315222531e-17
43,22.055160569420032,1.244235230116356e-10,2.3766441790822856,23.766441790822856,207.74861705264735,1.4254320571394365e-06,8.878515984846271e-18
44,15.24409432020011,4.572710885845018e-11,2.0391150827794884,20.391150827794885,178.24432541778742,1.0044849934976748e-06,3.262959102215655e-18
45,11.617214876606091,1.6805250386074178e-11,1.6179456422262641,16.179456422262643,141.42881487991818,7.078486112776828e-07,1.199175851725002e-18
46,7.990335433012072,6.176127141957284e-12,1.1760252320500506,11.760252320500506,102.79940839598343,4.988124857209004e-07,4.407112274837509e-19
47,4.363455989418052,2.2697993412945173e-12,0.7766634430864219,7.766634430864219,67.89016110895297,3.5150721770698295e-07,1.6196655782035947e-19
48,2.039052957773523,8.341779422049415e-13,0.48232643598972647,4.823264359897265,42.16140174735371,2.477029497782647e-07,5.95246141148096e-20
49,1.932380032961934,3.0657019976143734e-13,0.3160381340165866,3.160381340165866,27.625711015435886,1.7455331850337503e-07,2.1875995416115126e-20
50,1.825707108150345,1.1266815203942157e-13,0.2453648571039143,2.4536485710391434,21.44797701957293,1.2300564457452041e-07,8.039685460212757e-21
51,1.7190341833387561,4.1406870202095005e-14,0.2337093576501744,2.337093576501744,20.429139654735526,8.668061270279594e-08,2.954678906956972e-21
52,1.6336958434894844,1.5217511493494315e-14,0.2444748104594229,2.444748104594229,21.370175739460045,6.10827953832349e-08,1.0858792274507148e-21
53,2.0603875427358402,5.59261433683404e-15,0.2484869013872584,2.484869013872584,21.72088298839671,4.304431839472696e-08,3.990733792517512e-22
54,2.4870792419821965,2.0553515023384755e-15,0.2429095721279335,2.4290957212793347,21.233354206987187,3.0332818503832044e-08,1.4666415743816724e-22
55,2.9137709412285524,7.553658348011479e-16,0.23074609927079098,2.30746099270791,20.17011357262159,2.1375175927958502e-08,5.390080168411217e-23
56,3.3404626404749083,2.776058224917032e-16,0.2149997594051735,2.149997594051735,18.79368526268999,1.5062831892573313e-08,1.980917814269325e-23
57,3.236989903407667,1.0202340260527257e-16,0.20058494682599576,2.0058494682599575,17.53364919807655,1.0614598232482893e-08,7.28010579458203e-24
58,2.9169711289729,3.74947995911978e-17,0.21147093700595054,2.114709370059505,18.485221766254416,7.479980951827475e-09,2.6755244463534896e-24
59,2.596952354538134,1.3779779548601158e-17,0.28256864833278966,2.8256864833278965,24.700056672446646,5.271053488250029e-09,9.832866810761496e-25
60,2.276933580103367,5.064230949887216e-18,0.4489192277978039,4.489192277978039,39.24119124106677,3.714448613562933e-09,3.613694127220791e-25
61,2.037986228525407,1.861164402995604e-18,0.7446212482773908,7.446212482773909,65.08926995431739,2.6175276979365614e-09,1.3280750699269333e-25
62,1.9313133037138184,6.839998010073088e-19,1.1623993773420316,11.623993773420317,101.60833718024752,1.8445405933057436e-09,4.8808320323056144e-26
63,1.8246403789022294,2.51377974743522e-19,1.6383225560181223,16.383225560181224,143.21001363794775,1.2998257871482368e-09,1.7937631992544744e-26
64,1.7179674540906404,9.238436879115462e-20,2.1043658012240556,21.043658012240556,183.9480595475573,9.159717509429085e-10,6.592291193888586e-27
65,1.6299622911210785,3.395234917890716e-20,2.492506160307448,24.92506160307448,217.87641261428737,6.454743834296114e-10,2.422745053439929e-27
66,1.896644603150051,1.2477894018336589e-20,2.7535163639231293,27.535163639231293,240.69198985342038,4.548581102364211e-10,8.903877564104889e-28
67,2.1633269151790233,4.585777993183306e-21,2.9029053176080644,29.029053176080645,253.75046482587973,3.205330928061686e-10,3.2722834259906565e-28
68,2.4300092272079956,1.685331314732262e-21,2.970108640932297,29.701086409322972,259.6248812003756,2.258758528686805e-10,1.2026054764751406e-28
69,2.6966915392369684,6.193819983133681e-22,2.9845619534658705,29.845619534658706,260.888282645618,1.5917202327687996e-10,4.419737393416356e-29
70,2.694558080740737,2.2763226383898583e-22,2.974037583609435,29.74037583609435,259.96832024557995,1.1216662902335684e-10,1.6243204212857563e-29
71,2.587885155929148,8.365901665331373e-23,2.950285563020655,29.50285563020655,257.89209466963763,7.904248753927112e-11,5.969674372292974e-30
