Model,Correlation,R²,MAE,RMSE
TCN,0.9473594545926076,0.8912613201514248,0.31863743,0.45028162
LSTM,0.9509633487481591,0.8951277516523373,0.301403,0.44220382
GRU,0.9562177576930617,0.9042325832899683,0.2634548,0.42257234
MLP,0.9627902609717093,0.9252904872863448,0.24832474,0.37323308
