week,temperature,bi,bi_normalized,observed_cases,predicted_cases,L,P,M_total,I_m,E_h,I_h,R0
0,15.16995951417,3.366666666666667,0.9946975464126836,1.8475750577367205,12.933025404157043,95961459.43239938,28788437.82971981,8636531.348915944,172730.62697831888,6.466512702078522,12.933025404157044,6.582845250295968e-05
1,15.780418109050386,3.366666666666668,0.9946975464126838,1.7409021329251315,11.786692901163399,55927861.34722015,23922004.11002329,2546679.9174259473,44354.6520079671,6.948826105343786,11.7866929011634,5.550312021460547e-05
2,16.24559243995791,3.366666666666668,0.9946975464126838,1.6342292081135426,8.746696053706799,33536190.805473313,18291769.84059421,1727756.483432935,9428.166840837801,3.4846141953166807,8.746696053706799,6.312980786830132e-05
3,16.60953670415942,3.3666666666666676,0.9946975464126837,1.5275562833019536,5.10831243376429,24071440.287268195,13532065.731009442,1484610.486294534,2045.075633715744,1.359872239354954,5.108312433764291,7.476366485327915e-05
4,16.916305098921775,3.366666666666667,0.9946975464126836,1.4208833584903648,2.568521469607705,20303706.26326795,10232778.993164644,1299637.0471493802,467.6907200434864,0.4729211011903221,2.568521469607705,8.555592817753145e-05
5,17.209951821511844,3.366666666666667,0.9946975464126836,1.3856812933025404,1.1767004824716585,18738602.3378222,8204602.850136687,1158217.6134591196,113.4680121325342,0.15514833268794012,1.1767004824716585,9.750991904448093e-05
6,17.534531069196476,3.366666666666666,0.9946975464126832,1.3856812933025404,0.5077797570639198,18381682.70892266,7097509.076760926,1084759.3079030854,29.343956236249657,0.049602183455295136,0.5077797570639199,0.0001156368973431025
7,17.934097039242538,3.3666666666666654,0.994697546412683,1.3856812933025404,0.2107043852524078,19432557.626005672,6707594.846062396,1101512.6592813516,8.169769761082673,0.015853340893585362,0.2107043852524078,0.00014859037262517576
8,18.452703928916883,3.3666666666666663,0.9946975464126833,1.3856812933025404,0.0852464573714159,22995433.80755483,7096060.187820339,1254587.8948795646,2.4899407134198985,0.00520665719813404,0.08524645737141591,0.0002148636295872506
9,19.13368298417142,3.366666666666667,0.9946975464126836,1.3675468960845703,0.033980021619914064,32201621.866856817,8817369.681163352,1679820.1054327062,0.8502199124350733,0.001824555143204962,0.033980021619914064,0.0003630866272516428
10,19.978999774773033,3.366666666666668,0.9946975464126838,1.3142104336787759,0.013475145749606383,57496919.038398445,13921495.741623893,2832523.2915659086,0.33554530972737234,0.0007216298177102085,0.013475145749606385,0.0007306713173012693
11,20.927633638471473,3.3666666666666685,0.9946975464126839,1.2608739712729813,0.005383068270605887,140848593.7245276,30626710.227996014,6512497.211366511,0.1620661066674691,0.0003466295780399467,0.005383068270605887,0.0017351050986037279
12,21.913275758852993,3.3666666666666685,0.9946975464126839,1.207537508867187,0.0022200566484043634,480619073.92038894,98095036.26191063,21489883.89416486,0.12289943492225487,0.00022881232237069454,0.0022200566484043634,0.004775414443599658
13,22.869617336177477,3.3666666666666676,0.9946975464126837,1.1563345049576241,0.0010571535955937797,1956093292.5057228,412953553.6441882,97249900.25437087,0.2778351770748044,0.00034103753166947687,0.00105715359559378,0.014401730208982022
14,23.7475283575764,3.3666666666666636,0.9946975464126825,1.3163438921750075,0.0012162492214291322,6450231637.328209,1611085845.0016956,466059653.9537451,1.4918051704478834,0.0016976004996302001,0.0012162492214291324,0.04115060459024357
15,24.56456336012249,3.36666666666666,0.9946975464126815,1.476353279392391,0.005867967213554069,15048284857.845278,4505266227.883983,1739677984.0516465,8.363874809783894,0.011484879020038714,0.00586796721355407,0.09643925926832966
16,25.35445528354592,3.3666666666666596,0.9946975464126814,1.6363626666097744,0.03341767792203283,27725386428.34407,9482662679.707005,4817895989.554987,36.06881677063148,0.06147531404770911,0.03341767792203284,0.1824527434817031
17,26.150937067576848,3.366666666666664,0.9946975464126826,1.7963720538271577,0.14619588271333442,43808399485.93672,16451378050.989092,10555990845.557585,117.36189091271628,0.24101545076033543,0.14619588271333442,0.2881851537849342
18,26.98149788505807,3.366666666666676,0.9946975464126862,1.77503746886484,0.4850701945313508,62031456537.30136,24918469667.092896,19354269667.406765,300.3876660119813,0.7148034092473984,0.4850701945313508,0.389076676547513
19,27.80444602255497,3.3666666666666907,0.9946975464126905,1.668364544053251,1.260418405267099,80370501766.53224,33980682686.543198,30669153133.071815,626.2592775135915,1.661596540591379,1.2604184052670993,0.45672780469887003
20,28.535021373381152,3.3666666666666973,0.9946975464126925,1.561691619241662,2.6330814743443756,96024277156.09314,42324737351.15024,42675268063.56044,1085.9412898170842,3.096244949277152,2.6330814743443756,0.48197571910119064
21,29.08781314722587,3.3666666666666876,0.9946975464126896,1.4550186944300731,4.531025301381472,106827912802.58485,48748332741.94333,52925395199.67929,1596.812801879172,4.747761870717852,4.531025301381472,0.48024444276553674
22,29.378791511015923,3.36666666666665,0.9946975464126785,1.5536911498807937,6.627673287566205,112757630149.28607,52867918864.90003,59953503375.41887,2051.454733885682,6.245572500981307,6.627673287566205,0.47802096189955656
23,29.397648812368413,3.366666666666595,0.9946975464126623,2.033719311532944,8.597160856618478,116066435571.00035,55343057556.22401,64403318035.37646,2410.5556237345677,7.473403172442018,8.597160856618478,0.49320302969576446
24,29.243382378615305,3.3666666666665543,0.9946975464126503,2.5137474731850937,10.373337336071941,119385133816.1529,57285651277.50558,68175111275.717445,2726.1548528429335,8.620719285386745,10.373337336071941,0.526248928863062
25,29.023834910414877,3.366666666666568,0.9946975464126543,2.9937756348372435,12.122223098055265,123768379488.56384,59422419367.03463,72632972479.30031,3073.5181377746608,9.920873437535462,12.122223098055265,0.5705118663273119
26,28.846848889750127,3.3666666666666707,0.9946975464126846,3.510072590925333,14.069673527880312,129109688082.60814,61959122541.49719,78199992935.22072,3503.597181252747,11.5249979030733,14.069673527880314,0.6143963117671577
27,28.791260187973727,3.366666666666868,0.9946975464127429,5.803540474374495,16.36047543391982,134656612230.82271,64704922864.26654,84444937155.86511,4023.206372871479,13.439356807203533,16.360475433919824,0.6456645938358541
28,28.82663201778935,3.3666666666670513,0.9946975464127971,8.097008357823656,18.973498708607263,139476131619.5717,67275382040.531,90385342560.4776,4590.588900906484,15.507170526457523,18.973498708607263,0.6632514512066418
29,28.896800672075504,3.366666666667083,0.9946975464128064,10.390476241272818,21.74998464218984,143175070628.98666,69400863738.34009,95313442378.88982,5150.0042643875595,17.544549036446334,21.749984642189844,0.6713683553847786
30,28.945602443710662,3.366666666666826,0.9946975464127306,12.683944124721979,24.490080836042456,145758905231.09998,70992644782.92633,98997530799.69615,5658.925299188227,19.41191639405982,24.49008083604246,0.6772733925758992
31,28.91933465095316,3.36666666666618,0.9946975464125396,53.25165743056914,27.059230574046552,147645215209.4704,72163899219.75972,101736670530.04048,6109.181252505027,21.094467934530833,27.059230574046556,0.6903750183212404
32,28.790610553196984,3.366666666665421,0.9946975464123154,111.01504621604458,29.490264072658466,149613468155.3805,73223148687.24358,104346047547.39096,6542.12113910622,22.76293752112647,29.49026407265847,0.7178183749710364
33,28.547992267793713,3.3666666666650604,0.9946975464122089,168.77843500152002,32.010739850632,152425993153.63376,74535251996.25844,107804948710.74657,7037.277084820057,24.716271949464304,32.01073985063201,0.7642454648706648
34,28.18026509139009,3.366666666665605,0.9946975464123697,226.54182378699545,35.00027603145849,156587423825.84256,76393290340.7557,112994114728.00562,7695.836204355236,27.321234512086495,35.00027603145849,0.832310117368373
35,27.6768573412459,3.3666666666675513,0.9946975464129448,248.20709481622922,38.93893514164737,162222019975.03455,78934977347.26596,120581915461.77899,8633.381563562885,30.983136015995708,38.93893514164738,0.9192108739100353
36,27.059293677645975,3.366666666670451,0.9946975464138015,205.69793427881103,44.330965662043255,168862964529.24646,82027556548.52777,130802978411.64857,9967.029461845195,36.06030575953466,44.33096566204326,1.0075786982015238
37,26.395439465874347,3.3666666666725016,0.9946975464144073,163.18877374139282,51.50836027113514,175129779975.76474,85128819565.54247,142899175175.68777,11761.606549897699,42.58979662310825,51.50836027113514,1.0672855044491083
38,25.756772982642705,3.3666666666717946,0.9946975464141985,120.67961320397461,60.33195596406301,179228251739.12015,87436493675.66385,154870258785.81836,13948.732239581319,50.01603543475103,60.33195596406301,1.0778614227357002
