parameter,value
a0,0.05459007498843296
aT,4.5284994524540394e-05
aH,1.398771462764282e-05
aR,-1.9239618089058657e-05
aTT,-1.1383781921613056e-06
aHH,-1.4646203065846383e-07
aRR,4.70652007336414e-09
aTH,1.6771536185100937e-07
aTR,-5.799329534464763e-07
aHR,4.413777513866011e-07
