week,temperature,observed,predicted,M,R0,a_T,b_T,c_T,b_vh,I_h,E_h
0,15.16995951417,1.8475750577367205,3.6920102676956254e-06,7000000.0,0.0034337115806505523,0.03951728143894209,0.001,0.14789515472736348,0.01631695124448897,3.1645802294533934e-06,6.329160458906787e-06
1,15.780418109050386,1.7409021329251315,4.654681831075641,7000000.0,0.011092677045188045,0.06158606853508172,0.001,0.1831230437374678,0.0254293018404959,3.989727283779121,6.871060839741393
2,16.24559243995791,1.6342292081135426,9.22314719161894,7000000.0,0.022181399842900084,0.07899292043850424,0.001,0.2108525470520437,0.03261670804572875,7.905554735673378,8.568610879218863
3,16.60953670415942,1.5275562833019536,11.419858916718306,7000000.0,0.03538697032067985,0.09293670436734183,0.001,0.23304087283662622,0.03837419019647011,9.788450500044263,8.993070514955
4,16.916305098921775,1.4208833584903648,12.301138183326385,7000000.0,0.050490577270471744,0.10489434043834953,0.001,0.2520572136904327,0.04331157854064155,10.543832728565473,9.104477217687386
5,17.209951821511844,1.3856812933025404,12.630944934154225,7000000.0,0.6565287738004256,0.11650289975453235,0.009502748423164894,0.27051233768445465,0.4571281045118974,10.82652422927505,9.138975812891749
6,17.534531069196476,1.3856812933025404,12.934535692916404,7000000.0,2.7691666698762756,0.12950486665646807,0.029072176444227587,0.2911799195703303,1.5545890011178956,11.086744879642632,9.422302131297245
7,17.934097039242538,1.3856812933025404,13.805345119869195,7000000.0,7.356833196003706,0.1457334424435159,0.05365945366507963,0.31697917458046776,3.2289210492427394,11.833152959887881,10.464840784222714
8,18.452703928916883,1.3856812933025404,16.08353212913925,7000000.0,18.1883728693271,0.16711573966751134,0.0863191418930177,0.3509899817180808,5.956298107872894,13.785884682119356,13.08706163256786
9,19.13368298417142,1.3675468960845703,22.58106099160443,7000000.0,45.42601064223941,0.19563010530320465,0.13032584436791264,0.3964091526762146,10.527328908039742,19.355195135660942,21.194664799927853
