week,temperature,bi,observed_cases,predicted_cases,L,P,S_m,E_m,I_m,S_h,E_h,I_h,R_h,R0
18,26.98149788505807,3.366666666666676,1.77503746886484,0.9923985713360803,529005648902.9525,221192510579.53778,195534201609.9373,1939.0914999370548,1398.3062891796947,13999977.017997822,1.3355623362950104,0.9923985713360803,20.654041270575952,0.46246270108348136
19,27.80444602255497,3.3666666666666907,1.668364544053251,2.2112376200422172,655457489671.0573,285049506288.81604,285280161527.0478,3126.255969316197,2584.084889459269,13999972.882089961,2.7093167929146165,2.2112376200422172,22.197355625723006,0.5209078323902544
20,28.535021373381152,3.3666666666666973,1.561691619241662,4.134036343622043,759177450343.783,341619467975.3042,374452317336.3873,4360.492112904151,4112.6202966522205,13999965.973807465,4.5803719678268795,4.134036343622043,25.311784223266017,0.5338925186458675
21,29.08781314722587,3.3666666666666876,1.4550186944300731,6.560220380358244,825868974654.2334,382885939149.47534,445006301381.0299,5322.525861018745,5682.9192950414745,13999956.264210392,6.544430885506654,6.560220380358244,30.631138342345423,0.5207531634709426
22,29.378791511015923,3.36666666666665,1.5536911498807937,9.031381742699505,857229226305.3136,406989900355.9799,488079857499.4997,5866.390791078139,6968.541243165843,13999944.360159108,8.166056213033999,9.031381742699505,38.44240293585125,0.5100393042150588
23,29.397648812368413,3.366666666666595,2.033719311532944,11.17457233310899,870977422551.2213,419513692635.3901,511181395852.69226,6156.247890679512,7893.075797214253,13999930.868333492,9.375317677321677,11.17457233310899,48.58177649714127,0.5196102124077789
24,29.243382378615305,3.3666666666665543,2.5137474731850937,12.971426837063671,886593949224.3104,428914179792.7368,530176875140.4224,6484.689336242124,8657.794263567615,13999915.898029942,10.451794169312487,12.971426837063671,60.678749051558356,0.5487913175889316
25,29.023834910414877,3.366666666666568,2.9937756348372435,14.665623676016383,911369968202.0825,440463333394.3812,555522709324.7468,7013.4116691135305,9507.115751645888,13999899.156604717,11.682009653626196,14.665623676016383,74.49576195380314,0.5900206694369169
26,28.846848889750127,3.3666666666666707,3.510072590925333,16.538423033686506,944106270845.8066,455503490053.883,590041589139.437,7769.054850005093,10592.22007611709,13999880.15622589,13.231057358735468,16.538423033686506,90.07429371765684,0.6311100552935821
27,28.791260187973727,3.366666666666868,5.803540474374495,18.754856529601344,979058181623.2537,472504210484.5216,630164858005.1609,8667.442397285065,11926.518195186556,13999858.46090112,15.09494024495215,18.754856529601344,107.68930210476891,0.6595774488883739
28,28.82663201778935,3.3666666666670513,8.097008357823656,21.28726238050041,1009384639265.1478,488594468025.19867,668459284286.7726,9547.296539055535,13384.615518415458,13999833.927095244,17.097268852144282,21.28726238050041,127.68837352364801,0.6745050877931298
29,28.896800672075504,3.366666666667083,10.390476241272818,23.962934364931858,1032199006941.3824,501790722197.7372,699740454390.0018,10299.884149975152,14808.5397357774,13999806.682682566,19.044442478354647,23.962934364931858,150.30994059036874,0.6802535653678853
