week,temperature,bi,bi_normalized,observed_cases,predicted_cases,L,P,M_total,I_m,E_h,I_h,R0
0,15.16995951417,3.366666666666667,0.9946975464126836,1.8475750577367205,116.66666666666666,9946975.464126837,5000000.0,1000000.0,10000.0,200.0,100.0,0.0004527245319818046
1,15.780418109050386,3.366666666666668,0.9946975464126838,1.7409021329251315,136.27187446233552,9684520.329589687,3918951.9353396283,767215.8775868545,9141.375246275653,62.494188456250505,116.80446382485901,0.0005777578376883458
2,16.24559243995791,3.366666666666668,0.9946975464126838,1.6342292081135426,80.1309806116126,9576319.669154828,3345560.3671823246,646176.3768961064,5221.586733988278,27.73042276664683,68.68369766709652,0.0006964419867050499
3,16.60953670415942,3.3666666666666676,0.9946975464126837,1.5275562833019536,44.05239558066705,9680935.96366445,3087778.3120677434,588556.3076070142,2631.0287554063734,15.237378661380264,37.75919621200033,0.0008157506801570634
4,16.916305098921775,3.366666666666667,0.9946975464126836,1.4208833584903648,24.531745729545566,10081424.929640582,3037040.082456397,572827.7563727506,1262.5182210193561,8.738392025716783,21.027210625324773,0.0009508965073855336
5,17.209951821511844,3.366666666666667,0.9946975464126836,1.3856812933025404,13.774391433413948,10894180.513165742,3150654.953656485,590354.8065108327,593.03752794618,4.915691245968196,11.806621228640527,0.0011268741059936944
6,17.534531069196476,3.366666666666666,0.9946975464126832,1.3856812933025404,7.694314712396337,12323319.399386043,3440240.9156678077,642218.1595780364,275.91806167398056,2.7037205753392723,6.595126896339718,0.0013866816645679886
7,17.934097039242538,3.3666666666666654,0.994697546412683,1.3856812933025404,4.260104659440172,14788297.800171034,3981462.8200506154,741298.1923224063,127.85958776400668,1.4754511403159223,3.6515182795201473,0.0018113127331740148
8,18.452703928916883,3.3666666666666663,0.9946975464126833,1.3856812933025404,2.3506543870455605,19223472.60035542,4967680.256301926,921717.0110357988,59.174387602168416,0.8136917263129126,2.0148466174676236,0.002568043184066282
9,19.13368298417142,3.366666666666667,0.9946975464126836,1.3675468960845703,1.306689943858458,27909418.10511063,6878221.710914581,1267864.8088169345,27.38973638138648,0.4613558381673321,1.1200199518786784,0.004034494767169731
