week,temperature,humidity,precipitation,bi,Lambda_v
0,18.596696539884334,79.6190750518973,0.6246576380372617,3.366666666666667,1681.8604
1,19.19401787964876,80.39421563217445,0.8832576863490004,3.366666666666667,1680.2255
2,20.112914818751,79.03935791316664,1.6038149500134313,3.366666666666667,1671.4857
3,21.03181175785324,77.68450019415884,2.3243722136778624,3.366666666666667,1658.2214
4,21.950708696955484,76.32964247515103,3.0449294773422935,3.366666666666667,1650.9749
5,22.868620583257787,75.01179717814696,3.7651871114330606,3.366666666666667,1627.0309
6,23.68901224236647,77.35818165951383,4.455781417731148,3.366666666666667,1592.7599
7,24.509403901475153,79.70456614088069,5.146375724029236,3.366666666666667,1590.702
8,25.329795560583836,82.05095062224754,5.836970030327324,3.366666666666667,1617.2643
9,26.15018721969252,84.3973351036144,6.527564336625412,3.366666666666667,1620.724
10,26.867923204707456,84.18002699055329,6.26642902421882,3.366666666666667,1631.3457
11,27.537350637207687,82.7562753036437,5.55742095006885,3.366666666666667,1609.5006
12,28.20677806970792,81.33252361673412,4.848412875918879,3.366666666666667,1597.6304
13,28.87620550220815,79.90877192982454,4.13940480176891,3.366666666666667,1578.8704
14,29.273984442126668,78.83625058978369,3.8483882075057445,3.366666666666667,1541.0571
15,29.167273324393435,78.4160141796419,4.333641504460926,3.366666666666667,1533.3761
16,29.0605622066602,77.99577776950012,4.818894801416109,3.366666666666667,1514.0833
17,28.953851088926967,77.57554135935835,5.304148098371291,3.366666666666667,1510.6481
18,28.849728406677656,77.15921722217686,5.772086054727563,3.366666666666667,1522.463
19,28.872439063140472,76.93459446004972,5.391572321737165,3.366666666666667,1549.0944
20,28.89514971960329,76.70997169792258,5.011058588746768,3.366666666666667,1597.1338
21,28.91786037606611,76.48534893579544,4.630544855756371,3.366666666666667,1640.0356
22,28.940571032528926,76.26072617366832,4.250031122765973,3.366666666666667,1646.3818
23,28.776541053847108,76.17670991856082,3.967387127825272,3.366666666666667,1652.2769
24,28.528613108651033,76.15586470283897,3.728713594906898,3.366666666666667,1639.8118
25,28.28068516345496,76.13501948711713,3.4900400619885237,3.366666666666667,1620.7363
26,28.032757218258887,76.11417427139529,3.2513665290701494,3.366666666666667,1603.1058
27,27.654164052085154,75.72561618693551,2.9818430548274697,3.366666666666667,1591.7999
28,27.04327715972892,74.68334633583055,2.6574752404526913,3.366666666666667,1577.8511
29,26.432390267372682,73.64107648472559,2.333107426077913,3.366666666666667,1566.656
30,25.821503375016448,72.59880663362061,2.0087396117031346,3.366666666666667,1556.7991
31,25.21235572391521,71.59900657635332,1.6887949582077006,3.366666666666667,1551.8297
32,24.659443540058952,71.97239651983703,1.5118658398110585,3.366666666666667,1553.4385
33,24.106531356202694,72.34578646332075,1.3349367214144163,3.366666666666667,1578.4297
34,23.553619172346433,72.71917640680446,1.1580076030177742,3.366666666666667,1601.9197
35,23.000706988490176,73.0925663502882,0.9810784846211321,3.366666666666667,1616.8855
36,21.84626596759261,73.33134001785862,1.021696512130689,3.366666666666667,1628.0078
37,20.434026873677347,73.51242099575192,1.1555490307429013,3.366666666666667,1631.4105
38,19.021787779762082,73.69350197364523,1.2894015493551136,3.366666666666667,1644.979
39,17.609548685846818,73.87458295153853,1.423254067967326,3.366666666666667,1658.7885
40,16.51548774370902,74.5639072015493,1.6401854071815951,3.366666666666667,1675.8317
41,15.96318960054366,76.11861864462499,1.9985752787723412,3.366666666666667,1691.8369
42,15.410891457378302,77.67333008770066,2.356965150363087,3.366666666666667,1696.6917
43,14.858593314212944,79.22804153077635,2.715355021953833,3.366666666666667,1696.0775
44,14.324951198519374,80.6384618983543,3.038835264202548,3.366666666666667,1693.8267
45,14.239053742148704,78.58589645398646,2.524484402242495,3.366666666666667,1675.4707
46,14.153156285778033,76.53333100961864,2.0101335402824416,3.366666666666667,1671.999
47,14.067258829407363,74.4807655652508,1.4957826783223889,3.366666666666667,1652.6772
48,13.981361373036695,72.42820012088296,0.9814318163623357,3.366666666666667,1648.0961
49,14.44409892650451,73.39119888786864,1.1152466271168666,3.366666666666667,1645.191
50,15.13092683610354,75.5859069806184,1.5138051633463672,3.366666666666667,1660.7546
51,15.817754745702569,77.78061507336817,1.9123636995758675,3.366666666666667,1667.9185
52,16.5045826553016,79.97532316611793,2.310922235805368,3.366666666666667,1681.7002
53,17.506510310151157,81.83276276902647,2.9091658606886854,3.366666666666667,1693.6598
54,19.022548075672635,83.13992220429931,3.833211472322975,3.366666666666667,1665.0985
55,20.538585841194113,84.44708163957216,4.757257083957263,3.366666666666667,1626.2659
56,22.05462360671559,85.754241074845,5.681302695591553,3.366666666666667,1580.0205
57,23.52840461426232,86.9487035207031,6.563976461327148,3.366666666666667,1517.9735
58,24.19930722028874,86.0019231676811,6.66058515498753,3.366666666666667,1488.4595
59,24.87020982631516,85.05514281465908,6.757193848647911,3.366666666666667,1479.0796
