week,temperature,observed,predicted,R0,I_h
0,15.16995951417,2.0,0.00011666666666666667,0.0,0.0001
1,15.16995951417,2.0,2.5520399904491953,0.0,2.187462848956453
2,15.16995951417,2.0,5.05556618991316,0.0,4.333342448496994
3,15.16995951417,2.0,6.25656926691527,0.0,5.362773657355946
4,17.0125,1.5,6.734480699646068,0.014364135497711317,5.772412028268058
5,17.0125,1.5,6.944711380944707,0.014364135497711317,5.952609755095463
6,17.0125,1.5,7.041435523867566,0.014364135497711317,6.035516163315057
7,17.0125,1.5,7.079895266271167,0.014364135497711317,6.068481656803859
8,18.881592920354,1.5,7.094179343888333,4.727828613299418,6.080725151904287
9,18.881592920354,1.5,27.492410215988247,4.727828613299418,23.56492304227564
10,18.881592920354,1.5,129.29880004885402,4.727828613299418,110.82754289901773
11,18.881592920354,1.5,584.7867510313844,4.727828613299418,501.24578659832946
12,22.8604166666667,1.25,2621.211472291282,37.84512641223222,2246.7526905353848
13,22.8604166666667,1.25,1048085.9069544949,37.84512641223222,898359.3488181386
14,22.8604166666667,1.25,6266664.122798866,37.84512641223222,5371426.390970456
15,22.8604166666667,1.25,3693550.2131685745,37.84512641223222,3165900.182715921
16,26.4127125506073,2.0,1579781.6719200807,72.41306722626983,1354098.5759314976
17,26.4127125506073,2.0,597890.3612227101,72.41306722626983,512477.4524766087
18,26.4127125506073,2.0,212313.4077153743,72.41306722626983,181982.92089889228
19,26.4127125506073,2.0,72561.90070284923,72.41306722626983,62195.91488815648
20,29.3113333333333,1.5,24189.40791841468,74.02695423940635,20733.778215784012
21,29.3113333333333,1.5,7929.218300393895,74.02695423940635,6796.4728289090535
22,29.3113333333333,1.5,2570.6058525283465,74.02695423940635,2203.376445024297
23,29.3113333333333,1.5,829.1367736301154,74.02695423940635,710.6886631115275
24,28.8492741935484,3.75,268.89038819427174,75.68994426560077,230.47747559509006
25,28.8492741935484,3.75,90.00210797394782,75.68994426560077,77.14466397766957
26,28.8492741935484,3.75,33.204343846651085,75.68994426560077,28.46086615427236
27,28.8492741935484,3.75,15.248206530424314,75.68994426560077,13.06989131179227
28,28.9476113360324,14.5,9.59024072700487,75.39401027857683,8.220206337432746
29,28.9476113360324,14.5,7.8119660798520885,75.39401027857683,6.695970925587505
30,28.9476113360324,14.5,7.2541698290840735,75.39401027857683,6.217859853500634
31,28.9476113360324,14.5,7.0794750583306705,75.39401027857683,6.068121478569147
32,27.8740833333334,285.25,7.024829120452429,76.85971934357276,6.021282103244939
33,27.8740833333334,285.25,7.007751668156405,76.85971934357276,6.006644286991205
34,27.8740833333334,285.25,7.002418773681681,76.85971934357276,6.002073234584299
35,27.8740833333334,285.25,7.000754414294555,76.85971934357276,6.000646640823905
36,25.2289430894309,86.0,7.0002352309071805,63.6653434630628,6.00020162649187
37,25.2289430894309,86.0,7.000073326169423,63.6653434630628,6.000062851002363
38,25.2289430894309,86.0,7.000022849641081,63.6653434630628,6.0000195854066405
39,25.2289430894309,86.0,7.00000711351499,63.6653434630628,6.000006097298564
40,22.8348333333333,19.25,7.000002219991204,37.55018815385467,6.000001902849603
41,22.8348333333333,19.25,7.0000006981761995,37.55018815385467,6.000000598436744
42,22.8348333333333,19.25,7.0000002127017025,37.55018815385467,6.000000182315746
43,22.8348333333333,19.25,7.000000065273249,37.55018815385467,6.000000055948499
44,16.7198380566802,2.25,7.00000002175933,0.0,6.000000018650854
45,16.7198380566802,2.25,7.0000000070054345,0.0,6.000000006004659
46,16.7198380566802,2.25,7.000000000435947,0.0,6.000000000373669
47,16.7198380566802,2.25,6.999999996602839,0.0,5.999999997088148
48,14.3283870967742,1.75,6.999999996921595,0.0,5.999999997361368
49,14.3283870967742,1.75,6.999999996860741,0.0,5.9999999973092075
50,14.3283870967742,1.75,6.999999997246683,0.0,5.999999997640015
51,14.3283870967742,1.75,6.999999998427902,0.0,5.999999998652488
52,13.9564511106892,3.75,6.9999999988912744,0.0,5.999999999049664
53,13.9564511106892,3.75,6.999999999354646,0.0,5.99999999944684
54,13.9564511106892,3.75,6.999999999609442,0.0,5.999999999665237
55,13.9564511106892,3.75,6.999999999623773,0.0,5.999999999677519
56,16.930415959253,2.25,6.999999999638101,0.0,5.999999999689801
57,16.930415959253,2.25,6.999999999652431,0.0,5.999999999702084
58,16.930415959253,2.25,6.99999999966676,0.0,5.999999999714366
59,16.930415959253,2.25,6.99999999968109,0.0,5.999999999726649
60,23.494859483961,1.75,6.9999999996954205,45.21125008414675,5.9999999997389315
61,23.494859483961,1.75,6.9999999997097495,45.21125008414675,5.999999999751214
62,23.494859483961,1.75,6.999999999724079,45.21125008414675,5.999999999763497
63,23.494859483961,1.75,6.999999999738409,45.21125008414675,5.999999999775779
64,26.3998677680554,3.0,6.999999999752738,72.34138942786666,5.999999999788062
65,26.3998677680554,3.0,6.999999999767068,72.34138942786666,5.999999999800344
66,26.3998677680554,3.0,6.999999999781397,72.34138942786666,5.999999999812626
67,26.3998677680554,3.0,6.999999999795727,72.34138942786666,5.999999999824909
68,28.8366666666667,2.5,6.999999999810057,75.7255843070992,5.999999999837192
69,28.8366666666667,2.5,6.999999999824386,75.7255843070992,5.999999999849474
70,28.8366666666667,2.5,6.999999999838716,75.7255843070992,5.999999999861757
71,28.8366666666667,2.5,6.9999999998530456,75.7255843070992,5.999999999874039
72,29.4899595141701,9.5,6.999999999867375,73.20173883609111,5.999999999886322
73,29.4899595141701,9.5,6.999999999881705,73.20173883609111,5.999999999898605
74,29.4899595141701,9.5,6.999999999896033,73.20173883609111,5.999999999910886
75,29.4899595141701,9.5,6.999999999910363,73.20173883609111,5.999999999923169
76,28.3416129032258,14.0,6.999999999924693,76.70472605896194,5.999999999935452
77,28.3416129032258,14.0,6.999999999939023,76.70472605896194,5.999999999947734
78,28.3416129032258,14.0,6.999999999953353,76.70472605896194,5.999999999960017
79,28.3416129032258,14.0,6.999999999967683,76.70472605896194,5.9999999999722995
80,27.7438493723849,56.0,6.999999999982012,76.76715611520696,5.999999999984582
81,27.7438493723849,56.0,6.999999999987984,76.76715611520696,5.999999999989701
82,27.7438493723849,56.0,6.999999999988427,76.76715611520696,5.999999999990081
83,27.7438493723849,56.0,6.999999999988869,76.76715611520696,5.99999999999046
84,26.0737903225807,28.0,6.999999999989313,70.34163229264995,5.99999999999084
85,26.0737903225807,28.0,6.999999999989756,70.34163229264995,5.9999999999912195
86,26.0737903225807,28.0,6.999999999990199,70.34163229264995,5.9999999999916
87,26.0737903225807,28.0,6.999999999990643,70.34163229264995,5.99999999999198
88,20.6630833333333,12.25,6.999999999991085,15.578645430581973,5.999999999992359
89,20.6630833333333,12.25,6.9999999999915286,15.578645430581973,5.999999999992739
90,20.6630833333333,12.25,6.999999999991971,15.578645430581973,5.999999999993118
91,20.6630833333333,12.25,6.999999999992415,15.578645430581973,5.9999999999934985
92,18.0618623481781,1.25,6.999999999992858,1.961898691247214,5.999999999993879
93,18.0618623481781,1.25,6.999999999993301,1.961898691247214,5.999999999994258
94,18.0618623481781,1.25,6.999999999993744,1.961898691247214,5.999999999994638
95,18.0618623481781,1.25,6.999999999994187,1.961898691247214,5.999999999995017
96,17.0439810856329,2.25,6.99999999999463,0.051351729721922014,5.9999999999953975
97,17.0439810856329,2.25,6.999999999995073,0.051351729721922014,5.999999999995778
98,17.0439810856329,2.25,6.999999999995516,0.051351729721922014,5.999999999996157
99,17.0439810856329,2.25,6.99999999999596,0.051351729721922014,5.999999999996537
100,15.8711607142857,1.5,6.999999999996402,0.0,5.999999999996916
101,15.8711607142857,1.5,6.999999999996845,0.0,5.999999999997296
102,15.8711607142857,1.5,6.999999999997289,0.0,5.9999999999976765
103,15.8711607142857,1.5,6.999999999997732,0.0,5.999999999998056
104,18.5101201514954,1.5,6.999999999998176,3.320203779215997,5.999999999998436
105,18.5101201514954,1.5,6.999999999998617,3.320203779215997,5.999999999998815
106,18.5101201514954,1.5,6.999999999999061,3.320203779215997,5.999999999999195
107,18.5101201514954,1.5,6.9999999999995035,3.320203779215997,5.999999999999575
108,22.4721976987448,2.5,6.999999999999621,33.417409804243995,5.999999999999675
109,22.4721976987448,2.5,6.999999999999622,33.417409804243995,5.999999999999676
110,22.4721976987448,2.5,6.999999999999623,33.417409804243995,5.999999999999678
111,22.4721976987448,2.5,6.999999999999624,33.417409804243995,5.9999999999996785
112,25.6191935483871,2.75,6.999999999999625,67.00127678747016,5.999999999999679
113,25.6191935483871,2.75,6.999999999999628,67.00127678747016,5.999999999999681
114,25.6191935483871,2.75,6.999999999999629,67.00127678747016,5.999999999999682
115,25.6191935483871,2.75,6.9999999999996305,67.00127678747016,5.999999999999683
116,28.444319735007,5.75,6.999999999999631,76.56967797322054,5.999999999999685
117,28.444319735007,5.75,6.999999999999633,76.56967797322054,5.999999999999686
118,28.444319735007,5.75,6.999999999999635,76.56967797322054,5.999999999999687
119,28.444319735007,5.75,6.999999999999636,76.56967797322054,5.999999999999688
120,28.465,9.75,6.999999999999637,76.53813578646147,5.999999999999689
121,28.465,9.75,6.999999999999639,76.53813578646147,5.999999999999691
122,28.465,9.75,6.99999999999964,76.53813578646147,5.999999999999692
123,28.465,9.75,6.999999999999641,76.53813578646147,5.999999999999693
124,29.3103225806452,49.0,6.999999999999643,74.03133887111306,5.9999999999996945
125,29.3103225806452,49.0,6.999999999999644,74.03133887111306,5.999999999999695
126,29.3103225806452,49.0,6.999999999999646,74.03133887111306,5.999999999999696
127,29.3103225806452,49.0,6.999999999999647,74.03133887111306,5.999999999999698
128,28.8885833333333,96.25,6.999999999999648,75.57545905055048,5.999999999999699
129,28.8885833333333,96.25,6.999999999999649,75.57545905055048,5.9999999999997
130,28.8885833333333,96.25,6.999999999999652,75.57545905055048,5.999999999999702
131,28.8885833333333,96.25,6.999999999999653,75.57545905055048,5.9999999999997025
132,25.3130220713073,189.5,6.999999999999655,64.41794355187093,5.999999999999704
133,25.3130220713073,189.5,6.999999999999655,64.41794355187093,5.999999999999705
134,25.3130220713073,189.5,6.999999999999656,64.41794355187093,5.999999999999706
135,25.3130220713073,189.5,6.999999999999659,64.41794355187093,5.999999999999708
136,20.8778333333334,52.0,6.99999999999966,17.368257859500805,5.999999999999709
137,20.8778333333334,52.0,6.999999999999661,17.368257859500805,5.99999999999971
138,20.8778333333334,52.0,6.9999999999996625,17.368257859500805,5.999999999999711
139,20.8778333333334,52.0,6.999999999999664,17.368257859500805,5.999999999999712
140,16.4512096774194,2.75,6.999999999999665,0.0,5.999999999999713
141,16.4512096774194,2.75,6.999999999999668,0.0,5.999999999999715
142,16.4512096774194,2.75,6.999999999999668,0.0,5.999999999999716
143,16.4512096774194,2.75,6.9999999999996705,0.0,5.999999999999718
144,14.8050806451613,0.5,6.999999999999671,0.0,5.9999999999997184
145,14.8050806451613,0.5,6.999999999999672,0.0,5.999999999999719
146,14.8050806451613,0.5,6.999999999999674,0.0,5.999999999999721
147,14.8050806451613,0.5,6.999999999999675,0.0,5.999999999999722
148,15.0386607142857,0.75,6.999999999999677,0.0,5.999999999999723
149,15.0386607142857,0.75,6.9999999999996785,0.0,5.999999999999725
150,15.0386607142857,0.75,6.99999999999968,0.0,5.9999999999997256
151,15.0386607142857,0.75,6.99999999999968,0.0,5.999999999999726
152,20.1391935483871,0.5,6.999999999999683,11.647184427871165,5.999999999999728
153,20.1391935483871,0.5,6.999999999999684,11.647184427871165,5.999999999999729
154,20.1391935483871,0.5,6.999999999999686,11.647184427871165,5.999999999999731
155,20.1391935483871,0.5,6.9999999999996865,11.647184427871165,5.999999999999732
156,22.8470292887029,2.0,6.999999999999687,37.69074657627018,5.999999999999733
