city_cn,city_en,year,month,n_weeks,cases,tem,rhu,pre,Tm,Hm,Rm,pred_cases,m_hat_bi,m_hat_norm,beta_prime
广州市,Guangzhou,2005,1,5,0,13.945187218040022,67.18146845376148,32.74715774467226,23.137560869088905,73.5033665140795,166.73662087486332,0.2694272740947781,0.3055689157266734,0.3247862894364795,0.0
广州市,Guangzhou,2005,2,4,0,14.816800803008675,77.8822832415081,85.83873790900884,23.137560869088905,73.5033665140795,166.73662087486332,0.2694272740947781,0.4103914720728885,0.4362011859549008,0.0
广州市,Guangzhou,2005,3,4,0,18.3365050081678,75.75424406221387,160.32241073852185,23.137560869088905,73.5033665140795,166.73662087486332,0.41458714611398617,0.6391212519630267,0.6793158899406635,0.2136853769634145
广州市,Guangzhou,2005,4,4,0,23.34535162754752,79.76205316853711,167.41391393918906,23.137560869088905,73.5033665140795,166.73662087486332,0.8877109369562233,0.9719904690560934,1.0331194096153775,0.5984629241373245
广州市,Guangzhou,2005,5,5,1,27.773590664161823,84.12057691272096,441.7395191749422,23.137560869088905,73.5033665140795,166.73662087486332,1.6747650937968315,1.3923866006635333,1.4799544528773112,0.9495818043385126
广州市,Guangzhou,2005,6,4,1,27.9754070238059,85.98259900271805,526.6547803484826,23.137560869088905,73.5033665140795,166.73662087486332,1.7472254872902349,1.441360174002994,1.5320079974191139,0.9646152080700745
广州市,Guangzhou,2005,7,5,2,30.0381517844404,78.0265246655502,157.04935889530503,23.137560869088905,73.5033665140795,166.73662087486332,2.428867128575834,1.410507020585903,1.499214474583451,1.1079852873162612
广州市,Guangzhou,2005,8,4,0,28.455302791219676,82.4035829631548,264.0123531318621,23.137560869088905,73.5033665140795,166.73662087486332,3.615392491514849,1.3690386181415117,1.4551381046858671,0.9997453033152935
广州市,Guangzhou,2005,9,4,4,28.57044925811735,76.91586338515953,127.988681351326,23.137560869088905,73.5033665140795,166.73662087486332,1.6500678013513552,1.2885954903671466,1.3696358705388878,1.0080347316789824
广州市,Guangzhou,2005,10,5,0,25.19788274181828,62.104890222359096,6.84787435240805,23.137560869088905,73.5033665140795,166.73662087486332,3.195073010552995,0.9196461046845179,0.9774830833983419,0.7482599407978613
广州市,Guangzhou,2005,11,4,1,21.716573512207702,64.8495987726033,14.128064216655437,23.137560869088905,73.5033665140795,166.73662087486332,0.7057433053165626,0.7310607649310891,0.7770375223864323,0.4679268146126905
广州市,Guangzhou,2005,12,4,0,14.93834067345355,42.0107506376649,9.53631633873559,23.137560869088905,73.5033665140795,166.73662087486332,0.2694272740947781,0.20552625077961842,0.2184518939492273,0.0
广州市,Guangzhou,2006,1,5,0,16.271180015820697,66.79558862463712,24.679546332146444,23.137560869088905,73.5033665140795,166.73662087486332,0.3048246336334052,0.43105909787102664,0.45816860851971175,0.07725836925622573
广州市,Guangzhou,2006,2,4,1,16.695231267371277,66.89431947078833,58.43515037803313,23.137560869088905,73.5033665140795,166.73662087486332,0.32123371911321175,0.4696430260584284,0.4991790982093079,0.1037832818006153
广州市,Guangzhou,2006,3,4,0,19.22430835702315,81.4312727314433,138.6781995742758,23.137560869088905,73.5033665140795,166.73662087486332,0.4774055854107152,0.705507319678635,0.749877008869781,0.27734989719101166
广州市,Guangzhou,2006,4,5,1,24.4778997507116,82.12307942682492,306.3814157610423,23.137560869088905,73.5033665140795,166.73662087486332,1.0825497487113505,1.108459296035283,1.1781708257023669,0.6901566877042887
广州市,Guangzhou,2006,5,4,0,25.72663070137775,79.9651419966763,472.4927920047552,23.137560869088905,73.5033665140795,166.73662087486332,1.3095496714188934,1.2377306069332934,1.3155720705158602,0.7906236538726944
广州市,Guangzhou,2006,6,4,2,28.561104746571026,84.02877242963655,293.9625780127782,23.137560869088905,73.5033665140795,166.73662087486332,1.7639431376643386,1.3958074931428968,1.483590486903519,1.0073641458087566
广州市,Guangzhou,2006,7,5,14,29.58352560236066,82.55577743128826,424.6698752887671,23.137560869088905,73.5033665140795,166.73662087486332,3.7339605574531936,1.5114699185193106,1.6065269769450354,1.0782680070354487
广州市,Guangzhou,2006,8,4,288,29.5800194150715,80.66606030932586,137.02061165589862,23.137560869088905,73.5033665140795,166.73662087486332,23.371532505475855,1.380949120723008,1.4677976644109407,1.078034127671919
广州市,Guangzhou,2006,9,4,259,26.5815468993968,74.8331291827154,114.46905547533969,23.137560869088905,73.5033665140795,166.73662087486332,303.6138492559842,1.1380836409289694,1.2096582596650978,0.8582090828747587
广州市,Guangzhou,2006,10,5,159,26.18362627632416,65.84600028333942,36.716630333565526,23.137560869088905,73.5033665140795,166.73662087486332,310.45627589718003,1.0217620981478854,1.0860212000134275,0.8269185686026875
广州市,Guangzhou,2006,11,4,48,21.538131981819376,68.6831209348222,81.37403458301098,23.137560869088905,73.5033665140795,166.73662087486332,88.52671542657558,0.7729790221316541,0.8215920386186837,0.453833028006168
广州市,Guangzhou,2006,12,5,1,16.21796131413936,55.88345785185102,21.98805833128513,23.137560869088905,73.5033665140795,166.73662087486332,3.087671264346806,0.37446860763399764,0.39801911557221437,0.07398824422788611
广州市,Guangzhou,2007,1,4,0,13.96842993180015,53.40312919650463,18.515667952347577,23.137560869088905,73.5033665140795,166.73662087486332,0.2694272740947781,0.23881455385299535,0.253833714155409,0.0
广州市,Guangzhou,2007,2,4,0,19.92070109260297,77.45050120728195,62.68890409946515,23.137560869088905,73.5033665140795,166.73662087486332,0.5152463988452995,0.7028869267607067,0.7470918182012354,0.32903468992924767
广州市,Guangzhou,2007,3,4,0,19.17557502482985,81.59485379463464,93.5608948087822,23.137560869088905,73.5033665140795,166.73662087486332,0.468813229985497,0.6851603835869945,0.7282504443388644,0.2737876199605064
广州市,Guangzhou,2007,4,5,2,22.10487110574406,76.129101691762,220.206418319916,23.137560869088905,73.5033665140795,166.73662087486332,0.745082008735952,0.897232352601294,0.9536597198400831,0.4987677729756011
广州市,Guangzhou,2007,5,4,0,27.513373078957372,77.46318762915685,313.26884551916874,23.137560869088905,73.5033665140795,166.73662087486332,2.837465723270984,1.2989840361412526,1.3806777568727415,0.9299919682174268
广州市,Guangzhou,2007,6,4,1,28.648480326821,84.20258174770763,389.9808727709344,23.137560869088905,73.5033665140795,166.73662087486332,1.8193739387548853,1.4386438114282838,1.529120801516657,1.0136195015611547
广州市,Guangzhou,2007,7,5,1,30.46159515138244,76.7260811911805,87.22888336279635,23.137560869088905,73.5033665140795,166.73662087486332,1.9510449537326975,1.3945492662595467,1.4822531295360635,1.1345010147924302
广州市,Guangzhou,2007,8,4,6,28.6791910782325,81.43485352587275,221.84435592789615,23.137560869088905,73.5033665140795,166.73662087486332,2.1817769102504774,1.3624573007336787,1.4481428851118783,1.0158101087825895
广州市,Guangzhou,2007,9,5,14,28.1429513867897,71.96458652330398,123.9968780811831,23.137560869088905,73.5033665140795,166.73662087486332,8.327861778216874,1.2317848077662101,1.3092523372255185,0.9769824743383755
广州市,Guangzhou,2007,10,4,5,24.39041523726715,58.05499846096368,73.74608439621693,23.137560869088905,73.5033665140795,166.73662087486332,10.365402666992198,0.8801021721776572,0.9354522142633477,0.6830768847597269
广州市,Guangzhou,2007,11,4,2,19.904009853413772,48.9081343836013,2.0160501498005026,23.137560869088905,73.5033665140795,166.73662087486332,1.9290047661219192,0.517772791208458,0.5503357670653435,0.32777963676785493
广州市,Guangzhou,2007,12,5,0,17.18880154075388,57.74689027685406,24.52764200231864,23.137560869088905,73.5033665140795,166.73662087486332,0.49105572470250825,0.43912811260668955,0.46674508741047827,0.13566808985749998
广州市,Guangzhou,2008,1,4,0,12.848008237135108,72.86452981142342,98.5472374776642,23.137560869088905,73.5033665140795,166.73662087486332,0.2694272740947781,0.28584060181869336,0.30381725253109504,0.0
广州市,Guangzhou,2008,2,4,0,12.502847605611022,58.80349137642342,20.46436586288526,23.137560869088905,73.5033665140795,166.73662087486332,0.2694272740947781,0.188446293451688,0.20029777002245347,0.0
广州市,Guangzhou,2008,3,5,0,20.17295708381352,71.75392333085941,83.30278804944402,23.137560869088905,73.5033665140795,166.73662087486332,0.5302606690498901,0.7049834351926914,0.7493201770406065,0.3480933824380083
广州市,Guangzhou,2008,4,4,0,24.77545655743945,79.02454113603822,200.4454555416636,23.137560869088905,73.5033665140795,166.73662087486332,1.0864811560570065,1.076305026978474,1.1439943594486968,0.7142114602348
广州市,Guangzhou,2008,5,4,0,26.02438089089815,78.75981593889273,213.3517020446496,23.137560869088905,73.5033665140795,166.73662087486332,1.2769052504504457,1.164010520716051,1.2372156931909741,0.814310699339113
广州市,Guangzhou,2008,6,5,0,27.66927291277488,85.54217290058821,869.11378616976,23.137560869088905,73.5033665140795,166.73662087486332,1.7754157905492172,1.504509690483674,1.5991290168745542,0.9417554809916744
广州市,Guangzhou,2008,7,4,2,29.1807030405091,79.69381343542713,216.9529512171652,23.137560869088905,73.5033665140795,166.73662087486332,1.8191773520804453,1.3873543052466164,1.4746056740202673,1.0509589819768774
广州市,Guangzhou,2008,8,5,0,28.9558523913587,80.03214338985556,234.58380271421248,23.137560869088905,73.5033665140795,166.73662087486332,3.3088157229356656,1.3809587597627448,1.4678079096544479,1.035349526613609
广州市,Guangzhou,2008,9,4,1,28.68510493474305,71.28277794593795,95.44759122245878,23.137560869088905,73.5033665140795,166.73662087486332,1.6185831373424593,1.2490533099937395,1.3276068637298493,1.0162314613659733
广州市,Guangzhou,2008,10,4,1,26.286446163235823,69.31820593641447,100.19428593426336,23.137560869088905,73.5033665140795,166.73662087486332,1.2305515811744265,1.0828959187644762,1.1509997555380287,0.835034327727008
广州市,Guangzhou,2008,11,5,6,19.60747638879854,49.01399751535294,23.18752465458065,23.137560869088905,73.5033665140795,166.73662087486332,0.48593711121465644,0.5127137096547432,0.544958517478683,0.3056123048122966
广州市,Guangzhou,2008,12,4,0,15.6541440290076,45.39265704304032,8.70181406683309,23.137560869088905,73.5033665140795,166.73662087486332,0.3418837910354769,0.26931524704196413,0.2862526103724137,0.04017791984523301
广州市,Guangzhou,2009,1,4,0,13.265219432074224,51.1849649651541,9.576549330566412,23.137560869088905,73.5033665140795,166.73662087486332,0.2694272740947781,0.1860422437564242,0.19774252850422247,0.0
广州市,Guangzhou,2009,2,4,0,21.56456680914645,74.12759400821288,12.872981645287313,23.137560869088905,73.5033665140795,166.73662087486332,0.6398797712661551,0.7644651863737444,0.8125427637010852,0.45591753901540805
广州市,Guangzhou,2009,3,5,1,18.89659817815266,77.6688229652253,217.53994591074908,23.137560869088905,73.5033665140795,166.73662087486332,0.45795926471414794,0.6995961721063649,0.7435941064294479,0.2535415342715034
广州市,Guangzhou,2009,4,4,0,23.251257825271047,73.34589794651842,109.90829818233884,23.137560869088905,73.5033665140795,166.73662087486332,0.8433720528566715,0.9139001573468835,0.9713757707135758,0.5908576228335114
广州市,Guangzhou,2009,5,5,1,26.39846897135764,76.39942716392461,300.6979051676659,23.137560869088905,73.5033665140795,166.73662087486332,1.3566140334204617,1.2121290258072173,1.2883603938377162,0.8438529812975819
广州市,Guangzhou,2009,6,4,2,28.61715782273645,83.31298880711014,316.9093849175499,23.137560869088905,73.5033665140795,166.73662087486332,1.7804578228036256,1.4056265982693563,1.4940271201979283,1.0113809369863827
广州市,Guangzhou,2009,7,4,1,29.706915130059677,79.28421808101598,183.89152108427152,23.137560869088905,73.5033665140795,166.73662087486332,4.006198058407933,1.4069177734081426,1.495399497952196,1.086454122745271
广州市,Guangzhou,2009,8,5,6,29.87115959139348,77.88102048703436,166.42785516466503,23.137560869088905,73.5033665140795,166.73662087486332,2.8870483763181203,1.4028372297715945,1.4910623269953716,1.0972131474787552
广州市,Guangzhou,2009,9,4,2,28.860241932563422,73.36252426795278,134.80172594214633,23.137560869088905,73.5033665140795,166.73662087486332,9.178024673415594,1.2933556461962121,1.3746953948206198,1.0286373872968344
广州市,Guangzhou,2009,10,4,2,25.886500117563024,58.83117355073463,9.897073640619649,23.137560869088905,73.5033665140795,166.73662087486332,3.323557967079737,0.9412516268459633,1.000447387072575,0.8033591909004512
广州市,Guangzhou,2009,11,5,0,18.00443782102538,61.37699407726291,59.36278430130038,23.137560869088905,73.5033665140795,166.73662087486332,0.5428095911683856,0.5190597069353382,0.551703617531275,0.1905861076257126
广州市,Guangzhou,2009,12,4,0,15.47243634049045,70.66764053760042,82.47281625668205,23.137560869088905,73.5033665140795,166.73662087486332,0.2827546356085406,0.4233910383483595,0.4500183011050243,0.0296151544971327
