year,n_months,pearson_r,spearman_rho,BI_mean,T_mean
2020,7,0.9647072146978728,0.8571428571428573,3.6419047619047618,26.18735839407173
2021,9,0.6197050504034713,0.45,2.760740740740741,25.11402847440951
2022,9,0.9668578204457235,0.9500000000000001,2.29,23.90046771390634
2023,9,0.8443021898909275,0.7833333333333333,3.4233333333333333,24.63902612288842
2024,12,0.9260076772512615,0.8041958041958043,2.94525,23.798024422079735
2025,12,0.6553188802904271,0.6783216783216784,1.862861111111111,23.050779131839178
2026,2,,,0.27499999999999997,15.538866520332725
