date,year,month,cases,temperature,humidity,precipitation,population
2005-02-01,2005,2,0,14.9205444535279,80.1774371473845,0.595322045711198,9124.83333333333
2005-03-01,2005,3,0,16.443064516129,73.1725806451613,1.57655913978494,9131.75
2005-04-01,2005,4,0,22.339,77.575,2.34508741258741,9138.66666666667
2005-05-01,2005,5,0,26.7214516129032,79.341935483871,5.36252406591711,9145.58333333333
2005-06-01,2005,6,0,27.3638333333333,81.4166666666667,5.74447105263158,9152.5
2005-07-01,2005,7,2,29.204406779661,73.4288135593221,4.32741807909605,9159.41666666667
2005-08-01,2005,8,0,28.3962254437068,78.5122070180193,4.57835419771485,9166.33333333333
2005-09-01,2005,9,3,28.3649691876751,72.7095518207283,4.04404419136075,9173.25
2005-10-01,2005,10,0,25.6712584828328,65.0337028824833,3.4003468752992,9180.16666666667
2005-11-01,2005,11,1,22.2613618275608,68.250700073692,0.135714341532733,9187.08333333333
2005-12-01,2005,12,0,15.766997696789,54.1137108792847,0.064609924964691,9194.0
2006-01-01,2006,1,0,15.6802961396087,71.0920412480169,0.279571847119633,9214.66666666667
2006-02-01,2006,2,0,17.0838777641278,73.2084444834445,0.863841718184461,9235.33333333333
2006-03-01,2006,3,0,17.8536742722266,77.6648439548912,1.83362831416332,9256.0
2006-04-01,2006,4,0,23.2981142287424,80.1494658880501,2.96966283384279,9276.66666666667
2006-05-01,2006,5,0,25.1758064516129,79.7346774193549,5.47226736972704,9297.33333333333
2006-06-01,2006,6,3,27.5795,83.5966666666667,5.75230357142857,9318.0
2006-07-01,2006,7,10,29.2559653163528,78.7352391274895,4.0726798499563,9338.66666666667
2006-08-01,2006,8,275,28.7812903225807,77.7403225806452,5.94789785835152,9359.33333333333
2006-09-01,2006,9,425,26.7638333333333,73.125,3.43955570423463,9380.0
2006-10-01,2006,10,223,26.2625457255115,69.5643950684189,0.882044415819318,9400.66666666667
2006-11-01,2006,11,73,22.1683109243697,69.5167507002801,1.56514922336396,9421.33333333333
2006-12-01,2006,12,1,16.8683660750576,63.317043761008,0.793820867670913,9442.0
2007-01-01,2007,1,0,14.8355284552846,64.6751507998951,0.662221122302501,9460.16666666667
2007-02-01,2007,2,1,18.4721155083655,73.7327380952381,1.02225196528316,9478.33333333333
2007-03-01,2007,3,1,19.1023367427223,80.6416076580121,0.891024783634931,9496.5
2007-04-01,2007,4,1,21.0872026776812,77.5370460048426,4.6509019133077,9514.66666666667
2007-05-01,2007,5,1,26.2194535519126,75.0704784752765,4.10826088388174,9532.83333333333
2007-06-01,2007,6,3,28.0821778711485,81.866218487395,4.734918767507,9551.0
2007-07-01,2007,7,1,29.9632258064516,74.041935483871,3.44195882074914,9569.16666666667
2007-08-01,2007,8,38,28.3476593354887,79.064052390429,5.88104454653067,9587.33333333333
2007-09-01,2007,9,111,27.7752086834734,69.8479271708683,2.31883284509496,9605.5
2007-10-01,2007,10,237,25.2580238657225,65.0533831628639,0.73422859427144,9623.66666666667
2007-11-01,2007,11,2,20.1317464985994,58.3548039215686,0.479837283055075,9641.83333333333
2007-12-01,2007,12,1,18.1594194779388,67.7287445242289,0.71374870705092,9660.0
2008-01-01,2008,1,0,13.9310542229389,69.9104524972202,0.709463778767279,9679.41666666667
2008-02-01,2008,2,0,12.0681308334113,66.4956606317745,0.449921762409622,9698.83333333333
2008-03-01,2008,3,0,19.3909677419355,69.3112903225806,1.05251273344652,9718.25
2008-04-01,2008,4,3,22.6247179462832,80.1592740703409,2.03164204456228,9737.66666666667
2008-05-01,2008,5,0,25.1699992567818,78.9554960981048,3.59387959866221,9757.08333333333
2008-06-01,2008,6,2,26.6055149084427,84.8728961501956,8.90694537815127,9776.5
2008-07-01,2008,7,3,28.4515430310055,79.2686177919443,6.30147145064922,9795.91666666667
2008-08-01,2008,8,7,28.6005359019107,77.2176748385305,5.62597137690943,9815.33333333333
2008-09-01,2008,9,3,28.6718183916891,72.079830704117,4.66587039797875,9834.75
2008-10-01,2008,10,44,25.9596468079435,72.8437425029988,1.51392498091662,9854.16666666667
2008-11-01,2008,11,22,20.6793333333333,61.0816666666667,2.56135510435917,9873.58333333333
2008-12-01,2008,12,3,16.4337524990004,60.434412041635,0.215270606579902,9893.0
2009-01-01,2009,1,3,13.5098623131392,58.885051140834,0.266172614866511,9912.75
2009-02-01,2009,2,0,20.14125,76.8910714285715,0.122217052313883,9932.5
2009-03-01,2009,3,0,18.2066306810609,79.672331067573,1.79796138687382,9952.25
2009-04-01,2009,4,0,21.562431372549,73.2701400560224,2.85238626149384,9972.0
2009-05-01,2009,5,1,25.2930068187779,72.1003933910307,1.69609839442561,9991.75
2009-06-01,2009,6,0,27.7596638655462,79.4285714285714,3.66878137044291,10011.5
2009-07-01,2009,7,0,29.0089430894309,76.8016260162601,3.33672328687573,10031.25
2009-08-01,2009,8,5,29.5539037718246,74.7740897029618,4.75549214529065,10051.0
2009-09-01,2009,9,3,29.0384745762712,70.5305084745763,2.57165177195686,10070.75
2009-10-01,2009,10,5,25.7617741935484,62.3306451612903,1.11533334466388,10090.5
2009-11-01,2009,11,0,18.8679863827321,66.2987107054904,0.604004666236541,10110.25
2009-12-01,2009,12,2,15.7506583559044,70.6882834456097,1.63574049666289,10130.0
2010-01-01,2010,1,1,15.1988704190507,75.8676551013487,0.553072796694843,10155.9166666667
2010-02-01,2010,2,0,16.3512317772318,83.3350040950041,1.29279791154791,10181.8333333333
2010-03-01,2010,3,0,19.0949593495935,72.9951219512195,0.554051217752437,10207.75
